src,dst,src_station,dst_station,src_lat,dst_lat,src_lon,dst_lon
1,0,2143,2091,47.57065169761152,47.56345137069878,8.351404312067604,7.80068579222868
2,0,2016,2091,47.482180895007716,47.56345137069878,8.192977609449263,7.80068579222868
3,0,2018,2091,47.414583041445184,47.56345137069878,8.278444932900669,7.80068579222868
4,0,2243,2091,47.472684191825046,47.56345137069878,8.310589489908631,7.80068579222868
5,1,2415,2143,47.56999160579474,47.57065169761152,8.478913927053492,8.351404312067604
6,1,2044,2143,47.59713591586797,47.57065169761152,8.690225346694936,8.351404312067604
7,1,2473,2143,47.40460382642682,47.57065169761152,9.651616561111501,8.351404312067604
8,2,2029,2016,47.11755904157623,47.482180895007716,7.273113282005676,8.192977609449263
9,3,2634,2018,47.072150432803895,47.414583041445184,8.274517021575406,8.278444932900669
10,3,2152,2018,47.051514538977145,47.414583041445184,8.302505894847108,8.278444932900669
11,4,2104,2243,47.13152286211572,47.472684191825046,9.090086172472919,8.310589489908631
12,8,2085,2029,47.04605243940432,47.11755904157623,7.216776136694805,7.273113282005676
13,8,2034,2029,46.81850589222779,47.11755904157623,6.933769515475402,7.273113282005676
14,10,2481,2152,46.969689809378835,47.051514538977145,8.400855852852777,8.302505894847108
15,10,2056,2152,46.880889857166956,47.051514538977145,8.622639357256725,8.302505894847108
16,10,2084,2152,47.0032866170161,47.051514538977145,8.606521015963647,8.302505894847108
17,11,2372,2104,47.076938259329545,47.13152286211572,9.061089691858323,9.090086172472919
18,12,2500,2085,46.97197706368756,47.04605243940432,7.488516180908955,7.216776136694805
19,12,2135,2085,46.93294781493353,47.04605243940432,7.451935138550596,7.216776136694805
20,18,2070,2500,46.95120965640118,46.97197706368756,7.750380384562895,7.488516180908955
21,19,2030,2135,46.76181289603451,46.93294781493353,7.614840040414353,7.451935138550596
22,21,2109,2030,46.65954807351606,46.76181289603451,7.867647780052178,7.614840040414353
23,21,2019,2030,46.74629009745936,46.76181289603451,8.098515649225684,7.614840040414353
25,24,2170,2174,46.1812482830377,46.15896589281091,6.171507491827206,5.974880402749415
26,24,2009,2174,46.34095075427773,46.15896589281091,6.8952381593822265,5.974880402749415
27,26,2269,2009,46.420449194188166,46.34095075427773,7.8202069554347196,6.8952381593822265
