src,dst,src_station,dst_station,src_lat,dst_lat,src_lon,dst_lon
3,0,533,534,47.383461345005365,47.45108943449866,8.630401105773396,8.541276374558393
4,1,523,570,47.51030685172162,47.52859428844609,8.69370371591981,8.582446530413824
5,1,517,570,47.41403527697401,47.52859428844609,8.72043041826041,8.582446530413824
6,1,520,570,47.442262963406925,47.52859428844609,8.815092200783356,8.582446530413824
7,3,531,533,47.372613688760666,47.383461345005365,8.65535738029726,8.630401105773396
8,3,554,533,47.34493581064079,47.383461345005365,8.700518438836157,8.630401105773396
9,3,527,533,47.30961063611514,47.383461345005365,8.721691411778002,8.630401105773396
10,4,522,523,47.492430637422366,47.51030685172162,8.736401466344416,8.69370371591981
0,1,534,570,47.45108943449866,47.52859428844609,8.541276374558393,8.582446530413824
0,2,534,597,47.45108943449866,47.57572609376949,8.541276374558393,8.579740092711207
1,2,570,597,47.52859428844609,47.57572609376949,8.582446530413824,8.579740092711207
14,11,552,572,47.273373896175976,47.41124700752893,8.497877576549488,8.398508671788909
12,11,586,572,47.406689541298846,47.41124700752893,8.408933456038367,8.398508671788909
13,11,548,572,47.44839801169924,47.41124700752893,8.37958039933709,8.398508671788909
13,12,548,586,47.44839801169924,47.406689541298846,8.37958039933709,8.408933456038367
