future_step,positional_encoding,RMSE_Mean,RMSE_Std,RMSE_Median,RMSE_Min,RMSE_Max,RMSE_CI95,MAE_Mean,MAE_Std,MAE_Median,MAE_Min,MAE_Max,MAE_CI95,NSE_Mean,NSE_Std,NSE_Median,NSE_Min,NSE_Max,NSE_CI95,extra__infer_time_total_Mean,extra__infer_time_gpu_total_Mean,extra__infer_time_per_time_step_Mean,extra__n_total_time_steps_Mean,extra__train_time_total_best_Mean,extra__model_size
1,learnable,0.983733007832179,0.2475436555361867,0.9443557858467102,0.4781859517097473,1.6372959613800049,0.06284381785702242,0.7673618670493837,0.18241862234229853,0.7443287372589111,0.3650885820388794,1.1980657577514648,0.046310549350890406,0.9389851263591221,0.031473320782536514,0.9469529986381531,0.826050341129303,0.9816799163818359,0.007990120507549103,0.078444000274416,0.07506430586557541,1.112838704417875e-05,7049.0,125.54809932481679,15811
2,learnable,1.1125827573594593,0.29163078904127326,1.0749661922454834,0.5324956178665161,1.7686207294464111,0.07403620241574083,0.8711987478392464,0.22212006223902347,0.8246585130691528,0.4090030789375305,1.3713982105255127,0.05638953946730885,0.9234923200001792,0.0350460531339315,0.9291684031486511,0.8035671710968018,0.9794290661811829,0.00889712877102744,0.078444000274416,0.07506430586557541,1.112838704417875e-05,7049.0,125.54809932481679,15811
3,learnable,1.2120469013849895,0.33330463047277176,1.1326402425765991,0.570050060749054,1.966224193572998,0.08461592539288931,0.9518392128603799,0.2589555579158454,0.8961322903633118,0.4415586292743683,1.5301389694213867,0.06574095336629648,0.9107574782674275,0.03766109476536689,0.9122366309165955,0.7880592942237854,0.9744324088096619,0.009561008439518681,0.078444000274416,0.07506430586557541,1.112838704417875e-05,7049.0,125.54809932481679,15811
4,learnable,1.2797691746363564,0.36257346972914495,1.2153947353363037,0.5926128625869751,2.0941288471221924,0.09204639497664768,1.0063686247855899,0.284969081019015,0.9416950941085815,0.4601353406906128,1.6455273628234863,0.07234499702144115,0.901746374274057,0.03923116485507957,0.9017461538314819,0.7793034315109253,0.9730798602104187,0.0099596015625254,0.078444000274416,0.07506430586557541,1.112838704417875e-05,7049.0,125.54809932481679,15811
5,learnable,1.3185971265747434,0.38231377821787005,1.2584716081619263,0.6031747460365295,2.171182870864868,0.09705785991772964,1.0361606710486941,0.3014132655673684,0.9631018042564392,0.46866199374198914,1.71659255027771,0.07651967617581312,0.8966812992852832,0.03979096601955229,0.8949915766716003,0.7761294841766357,0.9715569019317627,0.010101718080680833,0.078444000274416,0.07506430586557541,1.112838704417875e-05,7049.0,125.54809932481679,15811
6,learnable,1.3455480999416776,0.3983167004634351,1.2959187030792236,0.6117812991142273,2.225515127182007,0.10112051597167704,1.055743500353798,0.314842288449575,0.9760653376579285,0.4734826683998108,1.7761082649230957,0.07992889733391229,0.8934111803297012,0.03981957034325297,0.8891743421554565,0.7762883305549622,0.9693019986152649,0.010108979849941968,0.078444000274416,0.07506430586557541,1.112838704417875e-05,7049.0,125.54809932481679,15811
7,learnable,1.3702660051603166,0.4108782076005708,1.324305772781372,0.6183553338050842,2.269939661026001,0.10430950122288851,1.0709750131955222,0.32180666083642506,0.9787628054618835,0.477702260017395,1.8030931949615479,0.08169694002044237,0.8903090830833192,0.04004110831073999,0.8850916028022766,0.7706993818283081,0.9669642448425293,0.010165221613226194,0.078444000274416,0.07506430586557541,1.112838704417875e-05,7049.0,125.54809932481679,15811
1,sinusoidal,0.9298420061194708,0.23357906157816744,0.916085958480835,0.4669945538043976,1.6363685131072998,0.05929863146456915,0.7235763900809817,0.17315178476506077,0.7042975425720215,0.3517725169658661,1.1509851217269897,0.04395798066334666,0.9441279920320662,0.03207164761021704,0.9524713158607483,0.8241786360740662,0.985279381275177,0.00814201752182031,0.09024669632079109,0.08680059523809525,1.2802765827889215e-05,7049.0,430.27310394862343,34594
2,sinusoidal,1.08359285101058,0.2851610705612161,1.0306321382522583,0.5243792533874512,1.7129544019699097,0.07239373733673782,0.843514170911577,0.21708271261245096,0.8108364939689636,0.40064775943756104,1.321748971939087,0.055110709348521136,0.9263954749183049,0.03640543983728356,0.9345481395721436,0.7894200086593628,0.9834584593772888,0.009242235779315267,0.09024669632079109,0.08680059523809525,1.2802765827889215e-05,7049.0,430.27310394862343,34594
3,sinusoidal,1.196644057357122,0.3321100781769217,1.117317795753479,0.5581381916999817,1.9515199661254883,0.0843126648357222,0.9351152257313804,0.2574931414184771,0.8769402503967285,0.42963773012161255,1.5176641941070557,0.06536969022164985,0.9124361380698189,0.03919254265401271,0.9132468700408936,0.7695102095603943,0.9743474721908569,0.009949796558378354,0.09024669632079109,0.08680059523809525,1.2802765827889215e-05,7049.0,430.27310394862343,34594
4,sinusoidal,1.2713466920549907,0.3646987323210638,1.1783015727996826,0.5798866152763367,2.109560251235962,0.09258593461839526,0.9958433802165683,0.2856433743523307,0.9084743857383728,0.4474542737007141,1.6518474817276,0.07251617962488655,0.902838961472587,0.04059457374183944,0.9012497663497925,0.7599291801452637,0.969876229763031,0.010305729681052922,0.09024669632079109,0.08680059523809525,1.2802765827889215e-05,7049.0,430.27310394862343,34594
5,sinusoidal,1.317754466382284,0.3871237133918399,1.232387900352478,0.5932511687278748,2.2095677852630615,0.09827895641209272,1.033361299643441,0.3038324362921361,0.9520873427391052,0.45883405208587646,1.736974835395813,0.07713383016842124,0.8969428245983426,0.04113359480061217,0.8935346007347107,0.7558213472366333,0.9683079719543457,0.010442570761327263,0.09024669632079109,0.08680059523809525,1.2802765827889215e-05,7049.0,430.27310394862343,34594
6,sinusoidal,1.349284327219403,0.4040419640629853,1.2742376327514648,0.6049532890319824,2.275218963623047,0.10257398656075045,1.0607503482273646,0.31989728434998704,0.9758597016334534,0.4690580368041992,1.8036596775054932,0.08121220730582568,0.8930424678893316,0.04128714314004921,0.8887503147125244,0.7559382319450378,0.9661285281181335,0.01048155202245038,0.09024669632079109,0.08680059523809525,1.2802765827889215e-05,7049.0,430.27310394862343,34594
7,sinusoidal,1.3736397198268346,0.417035579918923,1.2876847982406616,0.6140828132629395,2.3248724937438965,0.10587267109534682,1.0807924388893067,0.33105608740058456,0.9894773364067078,0.4761594831943512,1.8373239040374756,0.08404508858042425,0.890024325204274,0.041276608671025776,0.8869683742523193,0.7550553679466248,0.9646496176719666,0.01047887764062827,0.09024669632079109,0.08680059523809525,1.2802765827889215e-05,7049.0,430.27310394862343,34594
1,rope,0.9522887430493794,0.23896727554158728,0.9074426293373108,0.4712475538253784,1.6446762084960938,0.060666535385024645,0.7397472844237373,0.17229079315258092,0.7107964754104614,0.3627118170261383,1.1499300003051758,0.043739401035628456,0.942603884235261,0.029810975999245648,0.951238214969635,0.8472042679786682,0.9830660223960876,0.007568101641622582,0.09777558039105126,0.09444172402033729,1.387084414683661e-05,7049.0,163.3682937395005,94311
2,rope,1.1014949225244068,0.2869766060259301,1.0755668878555298,0.5318642854690552,1.745405912399292,0.07285464666527752,0.8562575455695863,0.213809830739069,0.8332700133323669,0.40814369916915894,1.3371403217315674,0.05427982401691023,0.9249356010603527,0.0345039841636908,0.934734582901001,0.8100252151489258,0.9810910820960999,0.008759513918576656,0.09777558039105126,0.09444172402033729,1.387084414683661e-05,7049.0,163.3682937395005,94311
3,rope,1.2099276790543207,0.3377543294164748,1.1459310054779053,0.5668326616287231,2.018538236618042,0.08574556884640838,0.9434239817044091,0.25893471853932654,0.8793869614601135,0.4371011257171631,1.5922242403030396,0.06573566288135424,0.9111885125674899,0.03765182118140376,0.9140504002571106,0.793707013130188,0.9728960394859314,0.009558654158128621,0.09777558039105126,0.09444172402033729,1.387084414683661e-05,7049.0,163.3682937395005,94311
4,rope,1.2820071265811013,0.37414569265163367,1.1829767227172852,0.5856320858001709,2.1762425899505615,0.09498423100385867,1.0015287214801425,0.29277291384785453,0.9035548567771912,0.45071348547935486,1.7304631471633911,0.07432615322526281,0.9018257326549954,0.039338287120768575,0.9037080407142639,0.7840855717658997,0.9704404473304749,0.009986796653180363,0.09777558039105126,0.09444172402033729,1.387084414683661e-05,7049.0,163.3682937395005,94311
5,rope,1.3256094200270516,0.3983796491584959,1.2276453971862793,0.5893401503562927,2.2638299465179443,0.10113649673401248,1.0379788426179735,0.314698904196931,0.9394596815109253,0.4522048532962799,1.8113806247711182,0.07989249642580898,0.896401792291611,0.039831866545601245,0.8957884311676025,0.7789633870124817,0.9681681990623474,0.010112101482362856,0.09777558039105126,0.09444172402033729,1.387084414683661e-05,7049.0,163.3682937395005,94311
6,rope,1.3533005269746932,0.4137779696915186,1.271515130996704,0.5921618342399597,2.325805187225342,0.10504566277094951,1.0615184756498488,0.32898185749402575,0.9756006598472595,0.45443055033683777,1.8639552593231201,0.08351850458796028,0.8930057627814156,0.040104275761658766,0.8906084895133972,0.7759127616882324,0.9658583402633667,0.010181257911031638,0.09777558039105126,0.09444172402033729,1.387084414683661e-05,7049.0,163.3682937395005,94311
7,rope,1.3763172740028018,0.42545529984403363,1.3031766414642334,0.59840327501297,2.3752737045288086,0.10801018233244442,1.0799728456943753,0.3375972039147689,0.9881224632263184,0.45982232689857483,1.8955223560333252,0.08570567945240026,0.8901202120478191,0.04035328601640886,0.8876338601112366,0.7710632085800171,0.9631284475326538,0.010244474053898056,0.09777558039105126,0.09444172402033729,1.387084414683661e-05,7049.0,163.3682937395005,94311
