future_step,positional_encoding,RMSE_Mean,RMSE_Std,RMSE_Median,RMSE_Min,RMSE_Max,RMSE_CI95,MAE_Mean,MAE_Std,MAE_Median,MAE_Min,MAE_Max,MAE_CI95,NSE_Mean,NSE_Std,NSE_Median,NSE_Min,NSE_Max,NSE_CI95,extra__infer_time_total_Mean,extra__infer_time_gpu_total_Mean,extra__infer_time_per_time_step_Mean,extra__n_total_time_steps_Mean,extra__train_time_total_best_Mean,extra__model_size
1,learnable,0.9748582243919373,0.15793291909959914,0.9089846014976501,0.696381151676178,1.2641735076904297,0.09053004790498376,0.7690277258555095,0.12266754087860661,0.7318099737167358,0.5363163948059082,0.9940391182899475,0.07031528585325186,0.9629847367604574,0.015497606111448178,0.9625214338302612,0.9272427558898926,0.9903504252433777,0.008883512263818671,0.2497913678487142,0.2469645650227864,3.772143881738361e-05,6622.0,26.052448352177937,749880
2,learnable,1.1204611778259277,0.16431654821090844,1.0870951414108276,0.7974840402603149,1.434198260307312,0.09418926127575689,0.87887575229009,0.128405615885975,0.8594760298728943,0.6155190467834473,1.1208181381225586,0.07360445576324282,0.9512140075365703,0.018798027010607076,0.9454026222229004,0.9155100584030151,0.987328290939331,0.010775374098646373,0.2497913678487142,0.2469645650227864,3.772143881738361e-05,6622.0,26.052448352177937,749880
3,learnable,1.2464438915252685,0.18135116897152,1.2251920700073242,0.912168025970459,1.6553301811218262,0.10395381854661223,0.9782492359479268,0.14838810951165515,0.9718804359436035,0.6963194608688354,1.3195289373397827,0.08505878786517174,0.9395775357882182,0.023136279100040662,0.9330172538757324,0.9012582302093506,0.9833998680114746,0.013262139819937513,0.2497913678487142,0.2469645650227864,3.772143881738361e-05,6622.0,26.052448352177937,749880
4,learnable,1.3343275626500448,0.19294387117862252,1.3175987005233765,1.0136221647262573,1.7977068424224854,0.11059896822243975,1.049745015303294,0.16144273598979603,1.0392301082611084,0.7707235813140869,1.449941635131836,0.09254193936509703,0.9308460394541422,0.026288950854337453,0.9245365858078003,0.8909522294998169,0.9794737100601196,0.015069309133164621,0.2497913678487142,0.2469645650227864,3.772143881738361e-05,6622.0,26.052448352177937,749880
5,learnable,1.3986732562383015,0.20017297531998304,1.3715733289718628,1.0834569931030273,1.8904050588607788,0.11474282339816,1.1026680668195088,0.1675812125820105,1.1026222705841064,0.8390432000160217,1.5305027961730957,0.09606062681243244,0.9244180202484131,0.02806237645260958,0.9185993671417236,0.8819426894187927,0.9754062294960022,0.016085869235281436,0.2497913678487142,0.2469645650227864,3.772143881738361e-05,6622.0,26.052448352177937,749880
6,learnable,1.447752555211385,0.19979283512642154,1.4186396598815918,1.0986143350601196,1.9323079586029053,0.11452492006217452,1.14147762854894,0.16707076468680715,1.1390036344528198,0.8841676712036133,1.5647037029266357,0.09576802871021783,0.919564155737559,0.02872961467482699,0.91411954164505,0.8765773177146912,0.9709704518318176,0.016468342430646654,0.2497913678487142,0.2469645650227864,3.772143881738361e-05,6622.0,26.052448352177937,749880
7,learnable,1.4946825186411539,0.19773951899196848,1.4960037469863892,1.1164666414260864,1.9535174369812012,0.11334792156764983,1.1776969989140829,0.1640277548738737,1.165799617767334,0.8996908068656921,1.5850679874420166,0.09402371963449907,0.9148985624313355,0.02888269893509033,0.909831702709198,0.87376469373703,0.9659664630889893,0.016556093138315076,0.2497913678487142,0.2469645650227864,3.772143881738361e-05,6622.0,26.052448352177937,749880
1,sinusoidal,0.8749036113421123,0.13653006501472797,0.8393585681915283,0.6717923879623413,1.1098706722259521,0.07826153911876399,0.6851422111193339,0.09764059296382323,0.6609342694282532,0.5372624397277832,0.8353724479675293,0.055969379967652166,0.9706539789835612,0.011728538422987952,0.9702485799789429,0.9467083811759949,0.9910198450088501,0.006723013487890617,0.26228605906168617,0.2595237609863282,3.960828436449505e-05,6622.0,24.991393264134725,770325
2,sinusoidal,1.0640804568926494,0.1371727220715034,1.0508588552474976,0.7687020301818848,1.291356086730957,0.07862992193893881,0.8309289614359537,0.10121071503769555,0.826707124710083,0.6095478534698486,1.0156193971633911,0.058015839465880514,0.9561493873596192,0.01671295426800097,0.9538100957870483,0.9239758253097534,0.9882264733314514,0.009580172133472398,0.26228605906168617,0.2595237609863282,3.960828436449505e-05,6622.0,24.991393264134725,770325
3,sinusoidal,1.2109545151392618,0.15390736040901679,1.2093392610549927,0.8920205235481262,1.4980002641677856,0.08822252377904194,0.9435902794202169,0.11825597215787444,0.9505653381347656,0.6987812519073486,1.1899566650390625,0.06778649369325795,0.9429813067118327,0.021639378734100607,0.9381088018417358,0.904725193977356,0.9841251373291016,0.012404089056295975,0.26228605906168617,0.2595237609863282,3.960828436449505e-05,6622.0,24.991393264134725,770325
