noise_level,positional_encoding,RMSE_Mean,RMSE_Std,RMSE_Median,RMSE_Min,RMSE_Max,RMSE_CI95,MAE_Mean,MAE_Std,MAE_Median,MAE_Min,MAE_Max,MAE_CI95,NSE_Mean,NSE_Std,NSE_Median,NSE_Min,NSE_Max,NSE_CI95,extra__infer_time_total_Mean,extra__infer_time_gpu_total_Mean,extra__infer_time_per_time_step_Mean,extra__n_total_time_steps_Mean,extra__train_time_total_best_Mean,extra__model_size
0.0,learnable,0.7073538303375244,0.10110433399677277,0.6685038208961487,0.5806137323379517,0.9360681176185608,0.05598971178749523,0.5569531321525574,0.07879959791898727,0.5355709791183472,0.45442435145378113,0.7438666224479675,0.043637759738440196,0.9805097579956055,0.009951049461960793,0.9796048998832703,0.955596923828125,0.9921090602874756,0.005510707066377907,0.20997724533081055,0.20608716430664062,2.4662584605451086e-06,85140.0,341.7211420536041,83102
0.0,sinusoidal,0.6995705366134644,0.08589084446430206,0.6550551652908325,0.5667514801025391,0.8473772406578064,0.047564761733329464,0.5487588047981262,0.06445521116256714,0.5160656571388245,0.4448093771934509,0.6796665191650391,0.03569410448056776,0.9806655645370483,0.0106667410582304,0.9815130829811096,0.9517555832862854,0.993302047252655,0.005907044691988661,0.19512077967325847,0.19182810160319008,2.2917639144145925e-06,85140.0,243.5404291152954,30399
0.0,rope,0.719637930393219,0.07958730310201645,0.6892917156219482,0.595048189163208,0.8580802083015442,0.04407397921465395,0.5623350143432617,0.058185942471027374,0.5412912368774414,0.4617430567741394,0.673770546913147,0.03222229810036403,0.9799219369888306,0.009914212860167027,0.9794665575027466,0.954924464225769,0.9912319779396057,0.005490307717520682,0.22628995577494304,0.22214896240234375,2.6578571267904987e-06,85140.0,406.45828914642334,25559
0.05,learnable,0.7175399661064148,0.0999051108956337,0.6759054064750671,0.5902293920516968,0.9402860403060913,0.05532560287065269,0.5645851492881775,0.07646246999502182,0.5469862222671509,0.46210113167762756,0.7424680590629578,0.04234350320015501,0.9799618124961853,0.010103879496455193,0.9790389537811279,0.9548979997634888,0.9919318556785583,0.005595341642706364,0.22344686190287272,0.21899983520507812,2.6244639640929375e-06,85140.0,341.7211420536041,83102
0.05,sinusoidal,0.7085924744606018,0.08524422347545624,0.6700664162635803,0.5758571624755859,0.8599324822425842,0.047206680002877976,0.5564557909965515,0.06415174901485443,0.5253179669380188,0.45138198137283325,0.6898111701011658,0.03552604780328483,0.9801869988441467,0.010868188925087452,0.9812687039375305,0.9508280158042908,0.9930850863456726,0.006018602413832119,0.19855523109436035,0.1952804962158203,2.3321027847587543e-06,85140.0,243.5404291152954,30399
0.05,rope,0.725049614906311,0.0786261036992073,0.6849793195724487,0.603666365146637,0.8592717051506042,0.04354168055312502,0.568035900592804,0.05801665037870407,0.5459422469139099,0.4738255441188812,0.6795456409454346,0.03212854998384851,0.979638397693634,0.009995739907026291,0.9795558452606201,0.9544835090637207,0.9909569621086121,0.0055354564452937405,0.22300942738850912,0.2189621002197266,2.619326137990476e-06,85140.0,406.45828914642334,25559
0.1,learnable,0.7345574498176575,0.10090882331132889,0.7004892230033875,0.6069566011428833,0.9567733407020569,0.05588143993383976,0.5748409032821655,0.0770953968167305,0.5380051732063293,0.4747665226459503,0.7499807476997375,0.04269401045512389,0.9790308475494385,0.010721075348556042,0.9792293310165405,0.9512956142425537,0.9913941025733948,0.005937133357023949,0.21089952786763508,0.20694427795410159,2.4770910014991203e-06,85140.0,341.7211420536041,83102
0.1,sinusoidal,0.7163771390914917,0.0885380208492279,0.6655451059341431,0.6097301244735718,0.8743517994880676,0.049030718367484294,0.5624334812164307,0.0673617348074913,0.527996838092804,0.4728728234767914,0.6977711915969849,0.03730368451560684,0.979723334312439,0.011060466058552265,0.9802929162979126,0.9504199624061584,0.9922476410865784,0.006125081521773934,0.204066530863444,0.20037589619954427,2.396834987825276e-06,85140.0,243.5404291152954,30399
0.1,rope,0.7491416335105896,0.07340925931930542,0.7166438698768616,0.6517793536186218,0.8644140362739563,0.040652693307526966,0.5878402590751648,0.0526793897151947,0.5618869066238403,0.5039476752281189,0.6833300590515137,0.0291728725977074,0.9784985184669495,0.01006272155791521,0.9781104922294617,0.9524034857749939,0.9901015758514404,0.0055725488035412996,0.2189440409342448,0.214605805460612,2.571576708177646e-06,85140.0,406.45828914642334,25559
0.15,learnable,0.7550309300422668,0.09253948926925659,0.7229707837104797,0.6390818357467651,0.9550963640213013,0.05124665993376365,0.5946159958839417,0.07188994437456131,0.5699426531791687,0.5027714371681213,0.7465679049491882,0.03981131929252202,0.9780081510543823,0.010439085774123669,0.9784967303276062,0.9527726173400879,0.9905539155006409,0.005780972721074584,0.21676252683003744,0.2122673258463542,2.545954038407769e-06,85140.0,341.7211420536041,83102
0.15,sinusoidal,0.7461393475532532,0.07894311845302582,0.726836621761322,0.6419447064399719,0.8691944479942322,0.043717239796313256,0.5897444486618042,0.059415511786937714,0.5771413445472717,0.5085415244102478,0.6961638331413269,0.032903211885939476,0.9783813953399658,0.010667192749679089,0.9787105321884155,0.9504774212837219,0.9914067983627319,0.005907294378021177,0.37152454058329265,0.3680611307779947,4.36368969442439e-06,85140.0,243.5404291152954,30399
0.15,rope,0.7731943726539612,0.07753729075193405,0.7678776383399963,0.653001606464386,0.9047778248786926,0.04293872274188004,0.6093844175338745,0.06046520918607712,0.6138060688972473,0.5110403299331665,0.7236036658287048,0.03348451492695581,0.977258563041687,0.010178480297327042,0.9772173166275024,0.9512233138084412,0.9900459051132202,0.005636654194275725,0.22005047798156738,0.2162088582356771,2.584572210260364e-06,85140.0,406.45828914642334,25559
0.2,learnable,0.8015105128288269,0.08719269931316376,0.7855454683303833,0.6819077134132385,1.0075931549072266,0.04828570718112746,0.6314941644668579,0.06801009923219681,0.6132713556289673,0.5379735827445984,0.7833850979804993,0.03766273303037626,0.975442111492157,0.010974855162203312,0.9753144383430481,0.9499348998069763,0.9889965653419495,0.006077672636034537,0.20957029660542806,0.2052704528808594,2.4614787010268736e-06,85140.0,341.7211420536041,83102
0.2,sinusoidal,0.7934672832489014,0.08954296261072159,0.7756893038749695,0.6751258373260498,0.9513991475105286,0.049587238571656256,0.6196931004524231,0.07003188878297806,0.6203683018684387,0.5187653303146362,0.7381976842880249,0.03878236115500244,0.9755581617355347,0.011897379532456398,0.9757983684539795,0.9448081851005554,0.9905614256858826,0.006588549234717078,0.19584593772888184,0.19236300455729163,2.3002811572572456e-06,85140.0,243.5404291152954,30399
0.2,rope,0.8156032562255859,0.07398949563503265,0.7929640412330627,0.704296886920929,0.9334257245063782,0.040974017259014506,0.6447203159332275,0.0548391193151474,0.6319400668144226,0.5590626001358032,0.7369683384895325,0.03036889066586812,0.9745891094207764,0.011448969133198261,0.9732494950294495,0.9458853006362915,0.9886179566383362,0.006340227486674732,0.22649003664652506,0.22250721232096354,2.6602071487729045e-06,85140.0,406.45828914642334,25559
0.25,learnable,0.8491764068603516,0.08437978476285934,0.8467082977294922,0.7445582747459412,1.0365689992904663,0.04672796596141693,0.6676132082939148,0.06839574128389359,0.647459864616394,0.5952926278114319,0.8245683312416077,0.037876296485202965,0.9725721478462219,0.011783032678067684,0.9733232855796814,0.9450141191482544,0.988000214099884,0.00652522586063653,0.21460046768188476,0.2101532694498698,2.5205598741118723e-06,85140.0,341.7211420536041,83102
0.25,sinusoidal,0.8440120220184326,0.09135525673627853,0.8303557634353638,0.7126062512397766,0.9781529307365417,0.050590856573107024,0.6621171832084656,0.0692019984126091,0.6561751961708069,0.5493107438087463,0.7887459993362427,0.03832278704605063,0.9725510478019714,0.013619799166917801,0.9736877083778381,0.9348400235176086,0.989410936832428,0.007542393324328267,0.19750590324401857,0.1939262990315755,2.3197780507871575e-06,85140.0,243.5404291152954,30399
0.25,rope,0.8717476725578308,0.07507303357124329,0.871608555316925,0.7658727765083313,1.0060547590255737,0.04157405873739961,0.689480185508728,0.06017225608229637,0.6737954616546631,0.6112508177757263,0.8030338883399963,0.033322282925439484,0.9712278246879578,0.012262588366866112,0.9707836508750916,0.9417882561683655,0.9857705235481262,0.006790794921061494,0.21622233390808104,0.21235822041829433,2.5396092777552394e-06,85140.0,406.45828914642334,25559
0.3,learnable,0.9180771708488464,0.10247758030891418,0.8852490782737732,0.8136740922927856,1.2044025659561157,0.05675019152293892,0.7244549989700317,0.08434440940618515,0.6960117816925049,0.6390443444252014,0.9526218771934509,0.046708374596560964,0.9679930210113525,0.013455484993755817,0.9663782715797424,0.9376062154769897,0.9861850142478943,0.007451398745379367,0.2070201555887858,0.20303081359863284,2.4315263752500094e-06,85140.0,341.7211420536041,83102
0.3,sinusoidal,0.883988082408905,0.09972520917654037,0.8776736855506897,0.7223910093307495,1.0664244890213013,0.055225980141163866,0.6930088400840759,0.07621009647846222,0.6784316301345825,0.5677260756492615,0.8350467681884766,0.0422037469365425,0.9700202941894531,0.013914434239268303,0.970795750617981,0.9345139265060425,0.988914966583252,0.007705556654745815,0.19480091730753582,0.19137251078287762,2.2880070155923866e-06,85140.0,243.5404291152954,30399
0.3,rope,0.9354955554008484,0.07797720283269882,0.9235334992408752,0.82391357421875,1.0624537467956543,0.04318233241511649,0.7365838289260864,0.06169595196843147,0.7151663899421692,0.6349209547042847,0.8390825986862183,0.03416607789621584,0.9667063355445862,0.014260919764637947,0.9666682481765747,0.9330363273620605,0.9869737029075623,0.007897433878903737,0.418051274617513,0.41386910400390625,4.910162962385636e-06,85140.0,406.45828914642334,25559
0.35,learnable,0.982002317905426,0.08809830248355865,0.9712010622024536,0.8296898603439331,1.1255974769592285,0.04878721256363727,0.7694287896156311,0.0757407397031784,0.7578210234642029,0.6461548209190369,0.8825177550315857,0.041943821779196755,0.9634223580360413,0.015682317316532135,0.9631934762001038,0.9268937110900879,0.983326256275177,0.008684577585760578,0.21230530738830566,0.20791840820312502,2.493602388868988e-06,85140.0,341.7211420536041,83102
0.35,sinusoidal,0.9876684546470642,0.09269686788320541,0.9716018438339233,0.8545624613761902,1.163783311843872,0.05133381434153228,0.7717912197113037,0.07625139504671097,0.7573796510696411,0.6673693656921387,0.9297534227371216,0.04222661418214513,0.962688684463501,0.017735198140144348,0.9653416872024536,0.9136723279953003,0.9842934608459473,0.00982142505793382,0.19991111755371094,0.1965761413574219,2.3480281601328515e-06,85140.0,243.5404291152954,30399
0.35,rope,1.0172866582870483,0.09049980342388153,1.0048962831497192,0.8781347870826721,1.220613956451416,0.05011711627741389,0.8023601770401001,0.07452424615621567,0.78127121925354,0.6941436529159546,0.9790663123130798,0.041270148888564506,0.9612738490104675,0.01516804751008749,0.9591985940933228,0.9252046942710876,0.9796557426452637,0.008399784698319701,0.2257064660390218,0.22152649129231766,2.651003829445875e-06,85140.0,406.45828914642334,25559
0.4,learnable,1.0715879201889038,0.09094924479722977,1.07571280002594,0.9272028207778931,1.1893937587738037,0.050366015299563305,0.8413161635398865,0.0657893493771553,0.8578730225563049,0.7424374222755432,0.935594379901886,0.036432927448294516,0.9567115902900696,0.018389537930488586,0.9551042914390564,0.9084051251411438,0.9790539741516113,0.010183786406982809,0.21302316983540853,0.20875179951985678,2.5020339421588975e-06,85140.0,341.7211420536041,83102
0.4,sinusoidal,1.0553011894226074,0.08888783305883408,1.0774997472763062,0.9133140444755554,1.1955664157867432,0.04922443877393423,0.8272131085395813,0.06243421509861946,0.8199483156204224,0.7255156636238098,0.938991367816925,0.03457491580335881,0.9582235217094421,0.017657123506069183,0.9589654207229614,0.9095123410224915,0.9797849655151367,0.009778188425797807,0.19964240392049154,0.1962819132486979,2.344872021617237e-06,85140.0,243.5404291152954,30399
0.4,rope,1.0820494890213013,0.09619369357824326,1.0699132680892944,0.9248857498168945,1.2274930477142334,0.05327028732532835,0.8566758632659912,0.07453784346580505,0.8333048820495605,0.720730721950531,0.9695373773574829,0.04127767941930538,0.9560823440551758,0.01675012707710266,0.9530633687973022,0.9190276861190796,0.9835852980613708,0.009275911014075433,0.2230188528696696,0.21907980855305986,2.61943684366537e-06,85140.0,406.45828914642334,25559
0.45,learnable,1.1568959951400757,0.10378491133451462,1.1571825742721558,0.9596940279006958,1.3836034536361694,0.05747416516293935,0.908436119556427,0.08386804908514023,0.8972522020339966,0.7516053318977356,1.1169013977050781,0.04644457031701399,0.9500904679298401,0.02020147442817688,0.9479885101318359,0.8959242105484009,0.9728419184684753,0.011187202662119256,0.21287519137064617,0.20864038696289064,2.500295881731808e-06,85140.0,341.7211420536041,83102
0.45,sinusoidal,1.1202212572097778,0.11020058393478394,1.109614610671997,0.9231353402137756,1.3793342113494873,0.061027053586600655,0.8842999339103699,0.09127505123615265,0.8698198199272156,0.7347707152366638,1.1095682382583618,0.05054643243420043,0.9525390267372131,0.019878290593624115,0.9510680437088013,0.9062342047691345,0.9792080521583557,0.0110082297114944,0.19823733965555826,0.19477863057454428,2.3283690351839116e-06,85140.0,243.5404291152954,30399
0.45,rope,1.191957950592041,0.11221378296613693,1.1867592334747314,1.0288336277008057,1.457939624786377,0.062141919699214565,0.9398276209831238,0.08661860972642899,0.9122579097747803,0.8123739361763,1.1572781801223755,0.04796778694963533,0.9467015862464905,0.021537071093916893,0.9456289410591125,0.8953477144241333,0.9760522246360779,0.01192683161635899,0.2200985590616862,0.21628460489908852,2.5851369398835594e-06,85140.0,406.45828914642334,25559
0.5,learnable,1.225832462310791,0.1298191100358963,1.2058056592941284,1.0224531888961792,1.5551033020019531,0.07189142419359618,0.942644476890564,0.10256309062242508,0.9416736960411072,0.8089495301246643,1.2173230648040771,0.05679754797461145,0.944192111492157,0.020848698914051056,0.9511043429374695,0.9007961750030518,0.9741129875183105,0.011545623965575014,0.2122615178426107,0.2083052378336589,2.4930880648650542e-06,85140.0,341.7211420536041,83102
0.5,sinusoidal,1.194746732711792,0.09230463951826096,1.2002577781677246,1.0426561832427979,1.390186071395874,0.05111660347314251,0.932198166847229,0.07346487790346146,0.9218972325325012,0.8209562301635742,1.1122251749038696,0.04068349058152265,0.9461362957954407,0.023004917427897453,0.9492326378822327,0.887484073638916,0.9741490483283997,0.012739698477658545,0.19760193824768066,0.19404971008300778,2.3209060165337175e-06,85140.0,243.5404291152954,30399
0.5,rope,1.299850583076477,0.1109790951013565,1.3271586894989014,1.088698148727417,1.4217982292175293,0.061458171477797974,1.0192875862121582,0.08809882402420044,1.0136477947235107,0.8667560815811157,1.1434011459350586,0.04878750020194689,0.9380119442939758,0.02051532454788685,0.9357444047927856,0.8917079567909241,0.9665536880493164,0.011361007111870935,0.2216307004292806,0.21745283406575525,2.6031324927094268e-06,85140.0,406.45828914642334,25559
