idx,station,x_ch,y_ch,lat,lon
0,2091,627248,268145,47.56345137069878,7.80068579222868
1,2143,668683,269282,47.57065169761152,8.351404312067604
2,2016,656857,259319,47.482180895007716,8.192977609449263
3,2018,663379,251869,47.414583041445184,8.278444932900669
4,2243,665733,258355,47.472684191825046,8.310589489908631
5,2415,678278,269328,47.56999160579474,8.478913927053492
6,2044,694129,272578,47.59713591586797,8.690225346694936
7,2473,767021,252776,47.40460382642682,9.651616561111501
8,2029,587439,218521,47.11755904157623,7.273113282005676
9,2634,663488,213797,47.072150432803895,8.274517021575406
10,2152,665639,211526,47.051514538977145,8.302505894847108
11,2104,725287,221378,47.13152286211572,9.090086172472919
12,2085,583141,210582,47.04605243940432,7.216776136694805
13,2034,561472,185386,46.81850589222779,6.933769515475402
14,2481,673223,202517,46.969689809378835,8.400855852852777
15,2056,690248,192877,46.880889857166956,8.622639357256725
16,2084,688817,206464,47.0032866170161,8.606521015963647
17,2372,723213,215265,47.076938259329545,9.061089691858323
18,2500,603796,202324,46.97197706368756,7.488516180908955
19,2135,601013,197984,46.93294781493353,7.451935138550596
20,2070,623732,200061,46.95120965640118,7.750380384562895
21,2030,613461,178974,46.76181289603451,7.614840040414353
22,2109,632836,167680,46.65954807351606,7.867647780052178
23,2019,650425,177445,46.74629009745936,8.098515649225684
24,2174,486932,113000,46.15896589281091,5.974880402749415
25,2170,502159,115212,46.1812482830377,6.171507491827206
26,2009,558163,132319,46.34095075427773,6.8952381593822265
27,2269,629334,141082,46.420449194188166,7.8202069554347196
