idx,station,x_ch,y_ch,lat,lon
0,534,683156,256173,47.45108943449866,8.541276374558393
1,570,686135,264834,47.52859428844609,8.582446530413824
2,597,685855,270071,47.57572609376949,8.579740092711207
3,533,689991,248753,47.383461345005365,8.630401105773396
4,523,694545,262929,47.51030685172162,8.69370371591981
5,517,696733,252259,47.41403527697401,8.72043041826041
6,520,703821,255518,47.442262963406925,8.815092200783356
7,531,691894,247576,47.372613688760666,8.65535738029726
8,554,695354,244553,47.34493581064079,8.700518438836157
9,527,697018,240652,47.30961063611514,8.721691411778002
10,522,697794,260994,47.492430637422366,8.736401466344416
11,572,672444,251602,47.41124700752893,8.398508671788909
12,586,673237,251105,47.406689541298846,8.408933456038367
13,548,670966,255715,47.44839801169924,8.37958039933709
14,552,680150,236371,47.273373896175976,8.497877576549488
