window_len,RMSE_Mean,RMSE_Std,RMSE_Median,RMSE_Min,RMSE_Max,MAE_Mean,MAE_Std,MAE_Median,MAE_Min,MAE_Max,NSE_Mean,NSE_Std,NSE_Median,NSE_Min,NSE_Max,extra__infer_time_total_Mean,extra__infer_time_gpu_total_Mean,extra__infer_time_per_time_step_Mean,extra__n_total_time_steps_Mean,extra__train_time_total_best_Mean,extra__model_size
1,1.646352,0.6533472,1.5401657,0.5823777,3.0452845,1.31651,0.54125375,1.1893756,0.44191414,2.4444394,0.85579735,0.06613128,0.8759724,0.705392,0.939068,0.2440517516363234,0.2418866451202876,0.0002226749558725,1096.0,843.3767278194427,60076
3,1.3883646,0.5678246,1.2109724,0.5419395,2.6882737,1.1154084,0.4788078,0.97389615,0.41607237,2.205483,0.8923994,0.057889715,0.898084,0.7535337,0.96913594,0.2147931749858553,0.2125762270972842,6.544581809441053e-05,3282.0,843.3767278194427,60076
5,1.2845722,0.5229866,1.1203719,0.5090884,2.4174361,1.0272374,0.43827638,0.8682465,0.3814132,1.9714175,0.9054826,0.054032356,0.9143762,0.7711131,0.9753766,0.2465373750716921,0.2442928270612444,4.5153365397745806e-05,5460.0,843.3767278194427,60076
7,1.2151059,0.4827415,1.0495223,0.48091707,2.2240477,0.9695497,0.40230304,0.8304723,0.36171162,1.798112,0.9142228,0.050115548,0.92046463,0.78852135,0.97837937,0.2172821060059562,0.2152178209092882,2.847734023669152e-05,7630.0,843.3767278194427,60076
15,1.0427233,0.37357402,0.9284754,0.42555356,1.9616787,0.81974256,0.30320174,0.72072726,0.323154,1.4919997,0.9345919,0.040304124,0.9427032,0.8279461,0.9833914,0.2000389969538128,0.1977935761951265,1.2325261673063024e-05,16230.0,843.3767278194427,60076
30,0.875518,0.2558131,0.8202506,0.38652864,1.6373992,0.6820035,0.19485666,0.639943,0.29288027,1.1573203,0.9521205,0.031103592,0.96139455,0.84185207,0.98604614,0.2081146959274534,0.2055000322129991,6.50155251257274e-06,32010.0,843.3767278194427,60076
60,0.7939133,0.22091597,0.7811418,0.3799405,1.5578007,0.6127585,0.15880899,0.5999384,0.2849377,1.0882524,0.96010166,0.026955297,0.96821517,0.846388,0.98757404,0.2048558129204644,0.2016982722206721,3.292443152048608e-06,62220.0,843.3767278194427,60076
90,0.7891973,0.22776872,0.77075356,0.38348868,1.5832021,0.6100487,0.16450156,0.592782,0.28811255,1.1185706,0.9609785,0.026104795,0.97044975,0.8505982,0.9876254,0.2027398215399848,0.1995610535636781,2.237005644267735e-06,90630.0,843.3767278194427,60076
120,0.7897533774375916,0.230354756116867,0.7707885503768921,0.3852208256721496,1.5893125534057615,0.6107218265533447,0.1666688770055771,0.595629870891571,0.2895036041736603,1.130013108253479,0.9609343409538268,0.0263705998659133,0.9709734320640564,0.8493179678916931,0.9876672625541688,0.2039141730656699,0.2003923661973741,1.7392884089531728e-06,117240.0,843.3767278194427,60076
150,0.7903202772140503,0.2304525226354599,0.7707991003990173,0.3855949938297272,1.5851552486419678,0.6110494136810303,0.16678915917873383,0.5954188704490662,0.28976932168006897,1.1336472034454346,0.9608044624328613,0.02663927711546421,0.9703588485717773,0.8496635556221008,0.9876728057861328,0.22397903412107437,0.2193175981309679,1.5767619438301611e-06,142050.0,843.3767278194427,60076
180,0.790578305721283,0.23055897653102875,0.7708010673522949,0.38569745421409607,1.5856612920761108,0.6112192273139954,0.16676954925060272,0.5981755256652832,0.289838582277298,1.1345874071121216,0.9607407450675964,0.02679089829325676,0.9702674746513367,0.8497104048728943,0.9876764416694641,0.21090618769327799,0.20617191738552518,1.277754681287277e-06,165060.0,843.3767278194427,60076
210,0.790628969669342,0.2304425835609436,0.7708026170730591,0.38571658730506897,1.5841896533966064,0.6112541556358337,0.16663677990436554,0.5981780886650085,0.2898528277873993,1.1347994804382324,0.9607261419296265,0.026830332353711128,0.970287561416626,0.8497751951217651,0.9876782894134521,0.20868536404200963,0.20368825954861114,1.1203380256724627e-06,186270.0,843.3767278194427,60076
240,0.7906092405319214,0.2304302453994751,0.7708025574684143,0.3857167959213257,1.583555817604065,0.6112595796585083,0.16664090752601624,0.5981777906417847,0.2898535430431366,1.1348623037338257,0.9607250690460205,0.026845822110772133,0.970315158367157,0.8497419357299805,0.9876789450645447,0.20209007036118282,0.19628866843571735,9.825460441519972e-07,205680.0,843.3767278194427,60076
270,0.7905863523483276,0.2303706854581833,0.7708025574684143,0.38571417331695557,1.5826278924942017,0.6112481355667114,0.1665816307067871,0.5981776118278503,0.28985148668289185,1.1348745822906494,0.9607272148132324,0.026844529435038567,0.9703326225280762,0.8497319221496582,0.9876790642738342,0.20310610438150073,0.19691521465967574,9.096068089995108e-07,223290.0,843.3767278194427,60076
300,0.7905765771865845,0.23035523295402527,0.7708024978637695,0.3857133090496063,1.5823556184768677,0.611244797706604,0.1665525734424591,0.5981775522232056,0.28985080122947693,1.1348767280578613,0.9607285261154175,0.026843227446079254,0.9703372120857239,0.8497418761253357,0.987679123878479,0.21002039833674355,0.2033326091463604,8.783789139972546e-07,239100.0,843.3767278194427,60076
330,0.7905672788619995,0.23037013411521912,0.7708024978637695,0.38571321964263916,1.5823979377746582,0.6112430691719055,0.16655859351158142,0.5981775522232056,0.2898506820201874,1.1348769664764404,0.9607298970222473,0.026843350380659103,0.9703398942947388,0.8497421741485596,0.987679123878479,0.1981448937976171,0.1915879962255084,7.828410327431436e-07,253110.0,843.3767278194427,60076
360,0.7905611395835876,0.23037979006767273,0.7708024978637695,0.3857131898403168,1.5824110507965088,0.6112416982650757,0.1665632426738739,0.5981775522232056,0.289850652217865,1.1348769664764404,0.9607305526733398,0.02684364654123783,0.9703424572944641,0.8497413396835327,0.987679123878479,0.2248474643343971,0.2180158054412357,8.474576523986021e-07,265320.0,843.3767278194427,60076
365,0.7905601859092712,0.23038098216056824,0.7708025574684143,0.38571321964263916,1.5824109315872192,0.6112412214279175,0.16656391322612762,0.5981775522232056,0.28985071182250977,1.1348769664764404,0.9607307314872742,0.026843691244721413,0.9703426957130432,0.8497413396835327,0.987679123878479,0.194499239088997,0.18764084177168588,7.279708027883712e-07,267180.0,843.3767278194427,60076
390,0.7905574440956116,0.23038452863693237,0.7708024978637695,0.3857131898403168,1.582409381866455,0.6112396121025085,0.16656611859798431,0.5981775522232056,0.289850652217865,1.1348769664764404,0.9607309699058533,0.02684379182755947,0.9703434705734253,0.8497414588928223,0.987679123878479,0.18083863409738693,0.17358636813693576,6.558540387240666e-07,275730.0,843.3767278194427,60076
420,0.7905561327934265,0.23038581013679504,0.7708024978637695,0.3857131898403168,1.5824083089828491,0.611238420009613,0.16656716167926788,0.5981775522232056,0.289850652217865,1.1348769664764404,0.9607312083244324,0.026843836531043053,0.9703437089920044,0.8497414588928223,0.987679123878479,0.17494730722336543,0.16731225610157804,6.152750482639286e-07,284340.0,843.3767278194427,60076
450,0.7905562520027161,0.23038558661937714,0.7708025574684143,0.3857131898403168,1.5824086666107178,0.6112383604049683,0.16656717658042908,0.5981775522232056,0.289850652217865,1.1348769664764404,0.9607312083244324,0.026843830943107605,0.9703438878059387,0.8497413992881775,0.987679123878479,0.16984759058271134,0.16225970870729473,5.833679910105147e-07,291150.0,843.3767278194427,60076
480,0.7905566692352295,0.23038502037525177,0.7708025574684143,0.3857131898403168,1.5824092626571655,0.6112387180328369,0.1665669083595276,0.5981775522232056,0.289850652217865,1.1348769664764404,0.9607311487197876,0.026843814179301262,0.9703440070152283,0.8497414588928223,0.987679123878479,0.16388051093570769,0.15655744425455728,5.533512659903689e-07,296160.0,843.3767278194427,60076
