window_len,RMSE_Mean,RMSE_Std,RMSE_Median,RMSE_Min,RMSE_Max,MAE_Mean,MAE_Std,MAE_Median,MAE_Min,MAE_Max,NSE_Mean,NSE_Std,NSE_Median,NSE_Min,NSE_Max,extra__infer_time_total_Mean,extra__infer_time_gpu_total_Mean,extra__infer_time_per_time_step_Mean,extra__n_total_time_steps_Mean,extra__train_time_total_best_Mean,extra__model_size
1,1.9334136247634888,0.9983958005905152,1.5969854593276978,0.5702186822891235,5.397088527679443,1.5771260261535645,0.8505977988243103,1.2559257745742798,0.424063503742218,4.292814254760742,0.7704492807388306,0.2663867175579071,0.8439574241638184,-0.8397507667541504,0.9387196898460388,0.21740356324211,0.21443530636742,0.0001983609153668,1096.0,20.229610223618764,6726882
3,1.4359607696533203,0.6008363366127014,1.268970251083374,0.5220984816551208,2.7670207023620605,1.1617248058319092,0.5097317695617676,1.0139986276626587,0.3949948251247406,2.296409368515014,0.8852201700210571,0.0626855939626693,0.8955345749855042,0.7495118379592896,0.964471399784088,0.2189944131033761,0.2160430653889974,6.672590283466668e-05,3282.0,20.229610223618764,6726882
5,1.31135892868042,0.5406709313392639,1.1478919982910156,0.4983570575714111,2.510265827178955,1.0540344715118408,0.4561871886253357,0.9086616039276124,0.3708752691745758,2.0488173961639404,0.901755154132843,0.0558544285595417,0.9089792370796204,0.7743732333183289,0.9735590815544128,0.2200956231071835,0.2167298554920015,4.031055368263435e-05,5460.0,20.229610223618764,6726882
7,1.2488696575164795,0.5014116168022156,1.0816004276275637,0.4826680123806,2.294276237487793,1.0037338733673096,0.4259142875671386,0.85840904712677,0.3586303889751434,1.9350868463516235,0.9096604585647584,0.0523132234811782,0.91759592294693,0.7813349962234497,0.9743497371673584,0.2178809642791748,0.2145607769678509,2.855582755952487e-05,7630.0,20.229610223618764,6726882
15,1.070754051208496,0.3969004452228546,0.9485930800437928,0.4294637143611908,2.0639357566833496,0.8537843227386475,0.3346231281757355,0.7395113706588745,0.3248040676116943,1.6234359741210938,0.9317011833190918,0.0419102534651756,0.940162718296051,0.8085503578186035,0.979205310344696,0.2151780204167441,0.2121462840731182,1.3258041923397665e-05,16230.0,20.229610223618764,6726882
30,0.8882712125778198,0.2685705125331878,0.870887279510498,0.3936575353145599,1.7780828475952148,0.6966575980186462,0.2097344696521759,0.6694900393486023,0.2977476716041565,1.2888751029968262,0.9510422348976136,0.0319151580333709,0.9629168510437012,0.848036527633667,0.9836603999137878,0.2168802268921383,0.2134037054152716,6.775389781072738e-06,32010.0,20.229610223618764,6726882
60,0.789289653301239,0.2151014059782028,0.7816836833953857,0.3791408538818359,1.6192080974578855,0.6096662282943726,0.1532261669635772,0.6101450324058533,0.2891528308391571,1.120232105255127,0.9601664543151855,0.0280467718839645,0.9699386954307556,0.846847414970398,0.987149178981781,0.2192871608431377,0.2153502095540365,3.524383812972319e-06,62220.0,20.229610223618764,6726882
90,0.788673996925354,0.2223855406045913,0.7837027907371521,0.3795837163925171,1.6698687076568604,0.6094375252723694,0.1612826436758041,0.6093336939811707,0.2908536791801452,1.1826472282409668,0.9604772329330444,0.0276969578117132,0.9685101509094238,0.8468166589736938,0.9872006773948668,0.2127424913739401,0.2086544882153707,2.3473738428107706e-06,90630.0,20.229610223618764,6726882
120,0.7949990034103394,0.2305698990821838,0.7841877341270447,0.381506085395813,1.719857931137085,0.6155515909194946,0.1709052175283432,0.6114068627357483,0.2928867638111114,1.2485638856887815,0.9599357843399048,0.0280033014714717,0.9678806662559508,0.8468196988105774,0.9871841669082642,0.2103868060641818,0.2059566243489583,1.7944968105099098e-06,117240.0,20.229610223618764,6726882
150,0.8013221025466919,0.23702694475650787,0.7844016551971436,0.3812687397003174,1.75132155418396,0.6217254996299744,0.17798615992069244,0.611667811870575,0.2928917407989502,1.2842882871627808,0.9593788385391235,0.028205689042806625,0.9673629999160767,0.8468197584152222,0.9871580600738525,0.20005369564843556,0.19533618866451202,1.4083329507105637e-06,142050.0,20.229610223618764,6726882
