window_len,RMSE_Mean,RMSE_Std,RMSE_Median,RMSE_Min,RMSE_Max,MAE_Mean,MAE_Std,MAE_Median,MAE_Min,MAE_Max,NSE_Mean,NSE_Std,NSE_Median,NSE_Min,NSE_Max,extra__infer_time_total_Mean,extra__infer_time_gpu_total_Mean,extra__infer_time_per_time_step_Mean,extra__n_total_time_steps_Mean,extra__train_time_total_best_Mean,extra__model_size,extra__forcast_time_steps
1,1.5759617,0.6490662,1.4499341,0.57972753,2.9280949,1.2566493,0.53562796,1.145417,0.41739634,2.3868613,0.87021947,0.05797931,0.8899628,0.73425364,0.9506207,0.07296172777811691,0.07092412264384926,6.657091950558109e-05,1096.0,75.14261118570968,129453,0
3,1.4607137,0.6099902,1.3044926,0.54923993,2.7633817,1.1643512,0.5067592,1.0143218,0.40175468,2.2395527,0.8856413,0.05684772,0.8999173,0.7409379,0.95895857,0.07198612652127703,0.06996672712053567,2.1933615637195934e-05,3282.0,75.14261118570968,129453,0
5,1.3916875,0.5778899,1.2500935,0.5350565,2.6411808,1.1075113,0.48008198,0.97375387,0.39350855,2.125865,0.89444464,0.05445794,0.90647006,0.7541362,0.9620397,0.07852001038808674,0.07647078838045637,1.4380954283532362e-05,5460.0,75.14261118570968,129453,0
7,1.3425473,0.551808,1.2022743,0.5215803,2.541154,1.0658932,0.45670488,0.9245545,0.38363406,2.0367947,0.9005304,0.052398294,0.9132139,0.7656247,0.9652562,0.07796237203809948,0.07572092013888891,1.021787313736559e-05,7630.0,75.14261118570968,129453,0
15,1.2182707,0.47895488,1.0725425,0.47705868,2.2498689,0.9582142,0.38829646,0.84286344,0.35084617,1.7672809,0.9156229,0.04642058,0.925324,0.79785866,0.973224,0.07890236945379343,0.07673918805803571,4.861513829562134e-06,16230.0,75.14261118570968,129453,0
30,1.0894554,0.39620697,0.9745577,0.43809587,1.9554051,0.8433609,0.30673686,0.7538988,0.32418662,1.4816884,0.930669,0.038925454,0.9410224,0.8212215,0.9787836,0.08378551498291988,0.08119786241319446,2.61747938090971e-06,32010.0,75.14261118570968,129453,0
60,0.9537327,0.3104499,0.87969005,0.4037858,1.7855277,0.7262438,0.22685105,0.68989056,0.3011345,1.3092983,0.9451259,0.031825192,0.9559735,0.85587335,0.9822917,0.08507084846496582,0.08255317615327386,1.3672588952903539e-06,62220.0,75.14261118570968,129453,0
90,0.8992083,0.28137806,0.8674095,0.3891852,1.7281846,0.6839092,0.20392182,0.6683785,0.29089114,1.2511804,0.9504563,0.029631326,0.9620332,0.8712179,0.9835741,0.09377403486342659,0.09080372643849204,1.034690884513148e-06,90630.0,75.14261118570968,129453,0
120,0.870526,0.26733938,0.85406184,0.38247457,1.6997173,0.6632959,0.19413385,0.66344273,0.28668344,1.2235814,0.9534076,0.028343553,0.96513945,0.87469286,0.98552763,0.09147683779398603,0.08846973431299603,7.802527959227739e-07,117240.0,75.14261118570968,129453,0
150,0.85235643,0.2583816,0.83798677,0.3792922,1.6797489,0.65058446,0.18810458,0.6549649,0.28500926,1.2068517,0.95534295,0.027391268,0.96746665,0.8775461,0.9863306,0.09612996616060775,0.09288386656746027,6.767333063048768e-07,142050.0,75.14261118570968,129453,0
