window_len,positional_encoding,RMSE_Mean,RMSE_Std,RMSE_Median,RMSE_Min,RMSE_Max,MAE_Mean,MAE_Std,MAE_Median,MAE_Min,MAE_Max,NSE_Mean,NSE_Std,NSE_Median,NSE_Min,NSE_Max,extra__infer_time_total_Mean,extra__infer_time_gpu_total_Mean,extra__infer_time_per_time_step_Mean,extra__n_total_time_steps_Mean,extra__train_time_total_best_Mean,extra__model_size
1,learnable,1.6085845,0.64354765,1.5065485,0.6184134,3.0059052,1.269192,0.5268263,1.1801482,0.46926454,2.3907442,0.86228424,0.06279694,0.8752949,0.73605245,0.9413817,0.216439269837879,0.2144127454000806,0.0001974810856185,1096.0,1290.4725050926208,108496
1,sinusoidal,1.6287273,0.6546895,1.5030771,0.6010084,3.0440023,1.2924063,0.53920096,1.1926,0.4549509,2.4586725,0.85900754,0.06464791,0.87223476,0.725678,0.9413169,0.2317308509160602,0.2290543706984747,0.000211433258135,1096.0,1903.3109467029567,30547
1,rope,1.6675242,0.65687346,1.5440788,0.5811854,3.1257448,1.3059126,0.53130007,1.1869255,0.42514727,2.47463,0.85126615,0.06654379,0.8635252,0.7134328,0.939792,0.228410384011647,0.225087152632456,0.0002084036350471,1096.0,1467.6243689060211,34194
3,learnable,1.3831059,0.5704972,1.2229713,0.56016576,2.6873853,1.106969,0.48108816,0.9698547,0.4244013,2.171689,0.8935515,0.05617683,0.8923597,0.76152945,0.96840864,0.2331405821300688,0.2307650565495566,7.103613105730313e-05,3282.0,1290.4725050926208,108496
5,learnable,1.2891377,0.5219574,1.1222723,0.54729813,2.4513001,1.0296268,0.4412482,0.87744766,0.41852906,1.9944757,0.90532595,0.051890504,0.906709,0.7809814,0.9741035,0.2004014234694223,0.1983209768628316,3.670355741198212e-05,5460.0,1290.4725050926208,108496
7,learnable,1.2287357,0.4870907,1.0712457,0.5281073,2.2726202,0.98182154,0.41169643,0.8522418,0.39761493,1.857582,0.9132492,0.048089944,0.9163251,0.7960701,0.9756899,0.1952973168993753,0.193104508172898,2.5595978623771342e-05,7630.0,1290.4725050926208,108496
15,learnable,1.0673047,0.37290737,0.9557191,0.49646226,2.0113502,0.8398348,0.30431032,0.72996384,0.38022453,1.5122726,0.93228424,0.03802117,0.93626845,0.8167039,0.978568,0.2152512376270597,0.2129283449687655,1.3262553150157712e-05,16230.0,1290.4725050926208,108496
30,learnable,0.9063608,0.26084608,0.8917345,0.44943735,1.7466078,0.7039665,0.19761217,0.68085665,0.34473154,1.2506598,0.9498175,0.028727682,0.95776796,0.85717475,0.98437124,0.2148397914947025,0.2123358633858817,6.711646094804827e-06,32010.0,1290.4725050926208,108496
60,learnable,0.80802214,0.22472331,0.7800523,0.4372985,1.6974399,0.6251762,0.16283211,0.61624753,0.33262026,1.1958117,0.95942336,0.024188383,0.968795,0.8984414,0.9876114,0.2184184467981732,0.2154706658257378,3.510421838607733e-06,62220.0,1290.4725050926208,108496
90,learnable,0.7791719,0.22181848,0.753172,0.44026828,1.6500933,0.6040312,0.1610464,0.59432,0.3392164,1.1604354,0.9627678,0.022018118,0.9716172,0.9052799,0.9877904,0.2029056208474295,0.1994864082941933,2.238835052934233e-06,90630.0,1290.4725050926208,108496
