window_len,RMSE_Mean,RMSE_Std,RMSE_Median,RMSE_Min,RMSE_Max,MAE_Mean,MAE_Std,MAE_Median,MAE_Min,MAE_Max,NSE_Mean,NSE_Std,NSE_Median,NSE_Min,NSE_Max,extra__infer_time_total_Mean,extra__infer_time_gpu_total_Mean,extra__infer_time_per_time_step_Mean,extra__n_total_time_steps_Mean,extra__train_time_total_best_Mean,extra__model_size,positional_encoding
1,1.60421621799469,0.6678187251091003,1.491212248802185,0.5597534775733948,3.033989191055298,1.2596945762634275,0.5385271906852722,1.1675491333007812,0.412175565958023,2.3621814250946045,0.8649182319641113,0.0627668425440788,0.88498854637146,0.6991839408874512,0.96064031124115,0.2808945898025755,0.2786738923087952,0.0002562906841264,1096.0,33.278462292656066,5045268,learnable
1,1.6021249294281006,0.673600435256958,1.4598978757858276,0.56890869140625,3.07184100151062,1.2613881826400757,0.5473100543022156,1.1504992246627808,0.4226111173629761,2.411525011062622,0.8653230667114258,0.0623406581580638,0.8848556280136108,0.7266536951065063,0.9593423008918762,0.2996294990418449,0.2964065733410063,0.0002733845794177,1096.0,33.654648860295616,4404194,sinusoidal
1,1.6555005311965942,0.6887856721878052,1.5385031700134275,0.5907891392707825,3.1811702251434326,1.2837294340133667,0.5425151586532593,1.195191740989685,0.4395512044429779,2.497731685638428,0.855069100856781,0.0667303875088691,0.8603796362876892,0.710199236869812,0.9561547040939332,0.2873216924213227,0.2846217157273065,0.0002621548288515,1096.0,34.33393543107169,4079018,rope
3,1.3573009967803955,0.5542703866958618,1.186354160308838,0.5004848837852478,2.5426902770996094,1.0772181749343872,0.4561537504196167,0.9308382868766784,0.3875091969966888,2.029531240463257,0.8971880078315735,0.0566098801791667,0.9060799479484558,0.7107716798782349,0.9697487950325012,0.2845152521890307,0.2819871978759765,8.668959542627382e-05,3282.0,33.278462292656066,5045268,learnable
3,1.3438538312911987,0.560975968837738,1.1886039972305298,0.5017135143280029,2.587522268295288,1.0733928680419922,0.4682404696941376,0.9197383522987366,0.3862952291965484,2.1135616302490234,0.8993664979934692,0.0561804212629795,0.9034169316291808,0.7489793300628662,0.9706630706787108,0.2798938675532265,0.277402595156715,8.528149529348767e-05,3282.0,33.654648860295616,4404194,sinusoidal
3,1.3479375839233398,0.5515813231468201,1.189122438430786,0.5099302530288696,2.595597505569458,1.0499833822250366,0.438512235879898,0.9223999977111816,0.3919045627117157,2.05375075340271,0.898099422454834,0.0553594753146171,0.899237334728241,0.7596196532249451,0.9704954028129578,0.2887080623990014,0.2857739783393012,8.796711224832461e-05,3282.0,34.33393543107169,4079018,rope
5,1.2565330266952517,0.4897051453590393,1.10464346408844,0.4881623685359955,2.297243356704712,1.000247597694397,0.4060289561748504,0.8794571161270142,0.3805959820747375,1.8447036743164065,0.9097675681114196,0.0512433275580406,0.9191179871559144,0.7423759698867798,0.9738197922706604,0.2808597920432923,0.2785929613870288,5.143952235225134e-05,5460.0,33.278462292656066,5045268,learnable
5,1.24118971824646,0.4896691143512726,1.0883013010025024,0.4930932819843292,2.241451025009156,0.9927859306335448,0.4124874770641327,0.8677890300750732,0.3746940493583679,1.7983349561691284,0.9120476245880128,0.0510312020778656,0.9176881313323976,0.7460976839065552,0.9764259457588196,0.2882137866247268,0.2858811279781281,5.278640780672653e-05,5460.0,33.654648860295616,4404194,sinusoidal
5,1.2346582412719729,0.4798649847507477,1.1292831897735596,0.4983385801315307,2.1967520713806152,0.9661046862602234,0.3843735754489898,0.8470616340637207,0.3928197920322418,1.7208868265151978,0.9128499031066896,0.0482683964073658,0.9197849035263062,0.7870610952377319,0.975238800048828,0.2960050370958116,0.2932563997298952,5.421337675747466e-05,5460.0,34.33393543107169,4079018,rope
7,1.188683271408081,0.4445605278015136,1.0597620010375977,0.4790567457675934,2.1063008308410645,0.9467887878417968,0.3701789677143097,0.8390710949897766,0.3626145720481872,1.699196696281433,0.9180712103843688,0.0478666573762893,0.927925169467926,0.760741114616394,0.9770604968070984,0.2950965071481372,0.2925716940259176,3.867582007183974e-05,7630.0,33.278462292656066,5045268,learnable
7,1.1703161001205444,0.4407406747341156,1.0446221828460691,0.462101548910141,2.0412373542785645,0.9356894493103028,0.3726683557033539,0.8341141939163208,0.3467198312282562,1.6362096071243286,0.920862913131714,0.0462842173874378,0.9285515546798706,0.7725756168365479,0.9787508845329284,0.2844517230987549,0.2819531007796999,3.7280697653834194e-05,7630.0,33.654648860295616,4404194,sinusoidal
7,1.1616263389587402,0.431375503540039,1.045478343963623,0.495756596326828,2.030212640762329,0.9117029905319214,0.3489074409008026,0.8217650055885315,0.3776834905147552,1.5600011348724363,0.9217240810394288,0.0445487238466739,0.9272642135620116,0.7979607582092285,0.9776389598846436,0.2939854765695239,0.2914065745520212,3.853020662772267e-05,7630.0,34.33393543107169,4079018,rope
15,1.015957951545715,0.3299854397773742,0.9619450569152832,0.4155220985412597,1.7377629280090332,0.804816722869873,0.271174669265747,0.7460272312164307,0.3173463046550751,1.4093453884124756,0.938343346118927,0.0368056669831275,0.9500728845596312,0.8177809715270996,0.9790647625923156,0.2721671414753747,0.2699523635137649,1.6769386412530786e-05,16230.0,33.278462292656066,5045268,learnable
15,0.9925153851509094,0.3262315392494201,0.9395405650138856,0.4043081998825073,1.7205939292907717,0.7892787456512451,0.2709696590900421,0.7493260502815247,0.3019142150878906,1.3378795385360718,0.9413504600524902,0.037182081490755,0.9513967037200928,0.7756770849227905,0.9804589748382568,0.2847931687794034,0.2823096562945654,1.754733017741242e-05,16230.0,33.654648860295616,4404194,sinusoidal
15,0.9731382727622986,0.3114293813705444,0.9288896918296814,0.4333068132400512,1.735814332962036,0.7659136652946472,0.2532249689102173,0.7212801575660706,0.3310435116291046,1.2929482460021973,0.9432747960090636,0.0341549590229988,0.9506049156188964,0.8263344168663025,0.9798308610916138,0.2986106948247031,0.2950565117730034,1.839868729665454e-05,16230.0,34.33393543107169,4079018,rope
30,0.8479629755020142,0.2376675009727478,0.8378280401229858,0.3796915411949157,1.5358785390853882,0.6628484129905701,0.1815720945596695,0.6646347641944885,0.2851581573486328,1.1770936250686646,0.9555666446685792,0.0277826078236103,0.9625969529151917,0.8706127405166626,0.9862294793128968,0.2924606194571843,0.2892069556826636,9.136539189540276e-06,32010.0,33.278462292656066,5045268,learnable
30,0.833397388458252,0.2379648685455322,0.8337389826774597,0.3904539346694946,1.5425281524658203,0.6557736396789551,0.1833459138870239,0.6607846617698669,0.2945125997066498,1.089787483215332,0.9571959972381592,0.0293565597385168,0.9661514163017272,0.8052585124969482,0.9864481091499328,0.2875389522976345,0.2844226742699033,8.98278513894516e-06,32010.0,33.654648860295616,4404194,sinusoidal
30,0.805025577545166,0.2208778411149978,0.8029204607009888,0.3943634033203125,1.492249608039856,0.6295741200447083,0.1682628393173217,0.6373664140701294,0.3011277914047241,1.076619267463684,0.959891676902771,0.0251237843185663,0.96720552444458,0.8714555501937866,0.9876978397369384,0.2928834075019473,0.2896758795844183,9.149747188439466e-06,32010.0,34.33393543107169,4079018,rope
60,0.7604442238807678,0.2157881110906601,0.7710533142089844,0.3627925515174866,1.5290086269378662,0.5865709781646729,0.1539897322654724,0.5910762548446655,0.2710599303245544,1.039663553237915,0.9641034007072448,0.022796032950282,0.9716598391532898,0.898926854133606,0.991234302520752,0.2908637939937531,0.2869928782629589,4.674763645029783e-06,62220.0,33.278462292656066,5045268,learnable
60,0.7527787089347839,0.2160943001508712,0.7569341659545898,0.375412106513977,1.5698853731155396,0.5823150277137756,0.1542222201824188,0.5858726501464844,0.2790139019489288,1.0288963317871094,0.9645001888275146,0.0243063401430845,0.9716485738754272,0.8536335229873657,0.9899889826774596,0.2905614376068115,0.286966542077443,4.669904172401342e-06,62220.0,33.654648860295616,4404194,sinusoidal
60,0.7309666872024536,0.2113969624042511,0.7390091419219971,0.3847847282886505,1.4936280250549316,0.563366174697876,0.1477097868919372,0.5667228102684021,0.294678121805191,0.9987629055976868,0.966503918170929,0.0218602754175663,0.9738408923149108,0.8956582546234131,0.9923911094665528,0.2896901690770709,0.2861408839150081,4.655901142350866e-06,62220.0,34.33393543107169,4079018,rope
