window_len,positional_encoding,RMSE_Mean,RMSE_Std,RMSE_Median,RMSE_Min,RMSE_Max,MAE_Mean,MAE_Std,MAE_Median,MAE_Min,MAE_Max,NSE_Mean,NSE_Std,NSE_Median,NSE_Min,NSE_Max,extra__infer_time_total_Mean,extra__infer_time_gpu_total_Mean,extra__infer_time_per_time_step_Mean,extra__n_total_time_steps_Mean,extra__train_time_total_best_Mean,extra__model_size,extra__forcast_time_steps
1,learnable,1.5612963,0.6392569,1.4693633,0.58986354,2.9539237,1.2272096,0.51887476,1.1431662,0.43420303,2.3688862,0.87197524,0.057973266,0.88615173,0.7338428,0.9538649,0.07106376451159285,0.06906909567212306,6.48392011967088e-05,1096.0,159.84433306209618,20966,0
1,sinusoidal,1.56693,0.64175886,1.4695128,0.58070374,2.9999323,1.2252597,0.5117057,1.1431767,0.42576805,2.3712323,0.87112296,0.058281597,0.88619804,0.7319684,0.9552753,0.06362096468607585,0.06168026878720236,5.804832544349988e-05,1096.0,68.66885916013567,22391,0
1,rope,1.6134138,0.6613829,1.5421402,0.5861142,3.0894053,1.2535735,0.5196157,1.190534,0.42774233,2.4171438,0.86292326,0.06276657,0.87921846,0.71324146,0.9568459,0.11315121726384242,0.1111954597594246,0.00010324016173708243,1096.0,100.87821974830027,51882,0
3,learnable,1.4421026,0.599998,1.2972136,0.5545275,2.799821,1.1367608,0.49078637,1.0079483,0.41014278,2.2453156,0.8880804,0.055971637,0.89571935,0.74672043,0.9583372,0.07966498723105782,0.0776825396825397,2.42733050673546e-05,3282.0,159.84433306209618,20966,0
3,sinusoidal,1.4453721,0.6028885,1.2913077,0.549577,2.8398514,1.1344912,0.4888507,1.0061096,0.40451428,2.2539353,0.8873764,0.05659961,0.89510655,0.747079,0.958709,0.0635086657508971,0.06152624705481151,1.9350598949085044e-05,3282.0,68.66885916013567,22391,0
3,rope,1.4844406,0.6194744,1.3584242,0.553262,2.925616,1.1542774,0.49046203,1.0546802,0.40687644,2.2943633,0.88090676,0.06039816,0.8947689,0.73185956,0.9615282,0.06580389113653272,0.06384884207589284,2.004993636091795e-05,3282.0,100.87821974830027,51882,0
5,learnable,1.3787442,0.5690716,1.23102,0.5385822,2.6621728,1.0874126,0.46753415,0.9589376,0.39941993,2.133595,0.8961553,0.053593352,0.90390974,0.75768566,0.9631176,0.06887295889475988,0.0668853004092262,1.2614095035670305e-05,5460.0,159.84433306209618,20966,0
5,sinusoidal,1.3781896,0.57281786,1.2179712,0.5365317,2.697848,1.0833483,0.4678365,0.9586109,0.39699394,2.1418421,0.8959222,0.05432382,0.9047966,0.7592706,0.96323097,0.10975713578481527,0.10764918154761904,2.0102039521028443e-05,5460.0,68.66885916013567,22391,0
5,rope,1.413927,0.58809024,1.2502526,0.5377983,2.7801073,1.1000415,0.46794087,0.9712554,0.39921573,2.1790583,0.89032316,0.057615478,0.9020272,0.74421227,0.9636131,0.06619486733088417,0.06419954039558533,1.2123602075253515e-05,5460.0,100.87821974830027,51882,0
7,learnable,1.3324106,0.54434055,1.1852612,0.52410436,2.5491643,1.0503967,0.44762582,0.9200832,0.38960752,2.0374215,0.9019328,0.05149909,0.91226166,0.7671056,0.9666472,0.06969872353568907,0.0676542813740079,9.134826151466454e-06,7630.0,159.84433306209618,20966,0
7,sinusoidal,1.330132,0.548129,1.1762769,0.5249356,2.5763226,1.0460298,0.4489133,0.91185635,0.3895199,2.0453308,0.90190303,0.052258547,0.90921557,0.768795,0.9671509,0.06320723654731875,0.06118677532862104,8.284041487197731e-06,7630.0,68.66885916013567,22391,0
7,rope,1.3628962,0.56254303,1.2041811,0.5299784,2.653319,1.0604241,0.4486111,0.9350974,0.3966673,2.0739388,0.89698195,0.055159967,0.90827066,0.7543071,0.96649647,0.06691658686077782,0.06490017748635915,8.77019487035096e-06,7630.0,100.87821974830027,51882,0
15,learnable,1.2134334,0.472705,1.0651187,0.48543635,2.2129807,0.95171463,0.38558206,0.8262402,0.36287445,1.7431774,0.91654515,0.045079377,0.92418486,0.796736,0.9730849,0.1149234847416954,0.11285953000992065,7.080929435717521e-06,16230.0,159.84433306209618,20966,0
15,sinusoidal,1.2065301,0.47634307,1.068544,0.4887092,2.23294,0.9467423,0.38874504,0.8294401,0.3629154,1.7523445,0.91708744,0.045723442,0.9257407,0.79939985,0.9740781,0.06387717004806277,0.06180044797867061,3.935746768210892e-06,16230.0,68.66885916013567,22391,0
