window_len,RMSE_Mean,RMSE_Std,RMSE_Median,RMSE_Min,RMSE_Max,MAE_Mean,MAE_Std,MAE_Median,MAE_Min,MAE_Max,NSE_Mean,NSE_Std,NSE_Median,NSE_Min,NSE_Max,extra__infer_time_total_Mean,extra__infer_time_gpu_total_Mean,extra__infer_time_per_time_step_Mean,extra__n_total_time_steps_Mean,extra__train_time_total_best_Mean,extra__model_size
1,2.342655658721924,0.6848588585853577,2.4015018939971924,1.3623623847961426,3.78806471824646,1.9412404298782349,0.6002029180526733,2.010008811950684,1.0797590017318726,3.265886783599853,0.8052576780319214,0.0860898196697235,0.8339257836341858,0.6182078123092651,0.9059516191482544,0.271724001566569,0.2694306274414062,0.000262535267214,1035.0,22.435416237513223,1130379
3,1.648396372795105,0.5327346920967102,1.3660385608673096,1.0284427404403689,2.5604825019836426,1.313986897468567,0.4009879827499389,1.0975439548492432,0.835002601146698,1.969956517219544,0.9075930118560792,0.032813124358654,0.906889021396637,0.8537408113479614,0.9514915347099304,0.2579285144805908,0.2554975341796874,8.322959486304962e-05,3099.0,22.435416237513223,1130379
5,1.437299728393555,0.4431116580963135,1.2103846073150637,0.9168518781661988,2.194929838180542,1.1428821086883545,0.3357868194580078,0.9518540501594543,0.7353993058204651,1.7175757884979248,0.929533302783966,0.0244266781955957,0.9358891844749452,0.8887788653373718,0.9606629014015198,0.2622342904408772,0.2597799448649089,5.086989145312847e-05,5155.0,22.435416237513223,1130379
7,1.3149441480636597,0.37298184633255,1.132638931274414,0.8737363815307617,1.9608826637268064,1.0453128814697266,0.2815001606941223,0.900451123714447,0.7007598876953125,1.5172370672225952,0.9404876828193665,0.0200444888323545,0.9429497122764589,0.9018954634666444,0.965939462184906,0.2715365727742513,0.2690782460530599,3.769770550801767e-05,7203.0,22.435416237513223,1130379
15,1.012292504310608,0.2275847047567367,0.9440009593963624,0.7420522570610046,1.416563630104065,0.8055973052978516,0.1784733831882476,0.7262393832206726,0.5812140107154846,1.113656997680664,0.9639909267425536,0.0117017840966582,0.9640829563140868,0.9337831735610962,0.9808371663093568,0.285992431640625,0.2834871815999349,1.8674007942580805e-05,15315.0,22.435416237513223,1130379
30,0.7843889594078064,0.1113970875740051,0.7426444292068481,0.6380850076675415,1.0304582118988037,0.6236696839332581,0.0890776142477989,0.593696653842926,0.5070977807044983,0.8461424708366394,0.9772033095359802,0.0096151633188128,0.9778465628623962,0.9501124024391174,0.9907528162002563,0.2781124909718831,0.274466074625651,9.215125612057096e-06,30180.0,22.435416237513223,1130379
60,0.7127580642700195,0.1013621166348457,0.6777081489562988,0.5978427529335022,0.9670388102531432,0.5630425810813904,0.0763606429100036,0.5456385612487793,0.4748217761516571,0.7650270462036133,0.9804736375808716,0.0095737855881452,0.9786545038223268,0.9561285972595216,0.9921672344207764,0.2582000573476156,0.2548198822021484,4.409153984761195e-06,58560.0,22.435416237513223,1130379
90,0.7110646963119507,0.099157877266407,0.6685644388198853,0.6069727540016174,0.9643266201019288,0.5594092011451721,0.0754072070121765,0.5265559554100037,0.4841318130493164,0.7568380832672119,0.9805818200111388,0.0093186097219586,0.9792320132255554,0.9577637910842896,0.992195188999176,0.2600439389546712,0.256712564086914,3.054309830334405e-06,85140.0,22.435416237513223,1130379
120,0.7117593288421631,0.0981274470686912,0.6690565943717957,0.608910083770752,0.9653136730194092,0.5595092177391052,0.0749570578336715,0.5260960459709167,0.4860973060131073,0.7564764618873596,0.9805555939674376,0.0092675825580954,0.9795201420783995,0.9579932689666748,0.9921753406524658,0.2619981288909912,0.2581632507324218,2.383534651482817e-06,109920.0,22.435416237513223,1130379
150,0.7118433713912964,0.09783662855625153,0.6690002679824829,0.6092461347579956,0.9656667113304138,0.5594334006309509,0.07487122714519501,0.525981068611145,0.48630619049072266,0.7566723227500916,0.9805514812469482,0.009260794147849083,0.9796498417854309,0.9580150842666626,0.9921749830245972,0.2431287447611491,0.23903761901855466,1.8294111720176758e-06,132900.0,22.435416237513223,1130379
