window_len,RMSE_Mean,RMSE_Std,RMSE_Median,RMSE_Min,RMSE_Max,MAE_Mean,MAE_Std,MAE_Median,MAE_Min,MAE_Max,NSE_Mean,NSE_Std,NSE_Median,NSE_Min,NSE_Max,extra__infer_time_total_Mean,extra__infer_time_gpu_total_Mean,extra__infer_time_per_time_step_Mean,extra__n_total_time_steps_Mean,extra__train_time_total_best_Mean,extra__model_size
1,2.0178285,0.63302815,1.6335123,1.3402632,3.0313618,1.597314,0.4974043,1.3323557,1.0628296,2.371371,0.86421007,0.038575117,0.8705805,0.7896171,0.9156885,0.2089647452036539,0.2069192555745442,0.0002018983045445,1035.0,133.45703387260437,30331
3,1.6402398,0.5718033,1.312082,1.0332623,2.559894,1.3038869,0.44545594,1.075304,0.83237517,2.0610616,0.90929514,0.034116715,0.9143945,0.8407737,0.95459795,0.1893879254659017,0.187361616007487,6.111259292220125e-05,3099.0,133.45703387260437,30331
5,1.4718164,0.49007952,1.2069124,0.9456865,2.3245304,1.1636585,0.37926254,0.9747365,0.75769967,1.848154,0.92637235,0.027630374,0.92947847,0.8682509,0.9626712,0.204293155670166,0.2021829996744792,3.963009809314569e-05,5155.0,133.45703387260437,30331
7,1.3553941,0.43282908,1.1403062,0.89266604,2.1434639,1.0649308,0.33008528,0.89933836,0.71178925,1.6955901,0.93722445,0.023383994,0.9414299,0.8879764,0.9673022,0.2039988358815511,0.2019171142578125,2.832137107893254e-05,7203.0,133.45703387260437,30331
15,1.1260116,0.31097874,0.9877251,0.79098535,1.693101,0.8793382,0.23433086,0.74327165,0.6225361,1.3418633,0.95635927,0.0143614635,0.96060425,0.92750704,0.9739624,0.2106089274088541,0.2079607035319011,1.3751807209197138e-05,15315.0,133.45703387260437,30331
30,0.91005343,0.18046278,0.8425071,0.72360855,1.2313497,0.6970192,0.123212226,0.6500308,0.56936574,0.978353,0.97101885,0.007964059,0.9731042,0.9515665,0.98332065,0.2645233154296875,0.2622868123372396,8.764854719340209e-06,30180.0,133.45703387260437,30331
60,0.8100767,0.11613367,0.8115622,0.6635838,1.003895,0.61536217,0.068791084,0.6153819,0.52234596,0.77313787,0.9761599,0.008871279,0.97744787,0.95103395,0.98646605,0.2044328848520914,0.2015248992919922,3.4909987167365347e-06,58560.0,133.45703387260437,30331
90,0.7983226,0.112414435,0.7978385,0.64402854,0.9863412,0.60335803,0.06322722,0.60282,0.5092397,0.73269457,0.976573,0.009772146,0.9781215,0.94807404,0.9872783,0.2082215944925944,0.2049866444905599,2.445637708393169e-06,85140.0,133.45703387260437,30331
120,0.8003986477851868,0.1174983605742454,0.7940356135368347,0.6437567472457886,1.0018715858459473,0.6043005585670471,0.0656093657016754,0.609871506690979,0.5090819001197815,0.7478912472724915,0.976486325263977,0.009855929762125,0.978220283985138,0.9474652409553528,0.9870403409004213,0.18780198097229,0.1838281646728515,1.7085333057886648e-06,109920.0,133.45703387260437,30331
150,0.8004723787307739,0.11751232296228409,0.7941043972969055,0.6432580351829529,1.0033172369003296,0.6043546199798584,0.06549329310655594,0.6133933067321777,0.5086683630943298,0.746119499206543,0.9764794707298279,0.009882657788693905,0.9782314896583557,0.9473220109939575,0.9870603680610657,0.18827072779337564,0.1843369720458984,1.4166345206424052e-06,132900.0,133.45703387260437,30331
180,0.8004131317138672,0.11770261079072952,0.7938563227653503,0.6435648202896118,1.003656268119812,0.6044921278953552,0.06576370447874069,0.6148688793182373,0.5088497996330261,0.7474213242530823,0.9764810800552368,0.009876918978989124,0.9782373309135437,0.9473998546600342,0.9870480298995972,0.17624322573343912,0.17239870300292967,1.14384232693042e-06,154080.0,133.45703387260437,30331
210,0.8003727197647095,0.11752326041460037,0.7938627600669861,0.6435422897338867,1.0036389827728271,0.6044794321060181,0.06555452942848206,0.615797221660614,0.5088214874267578,0.7460351586341858,0.9764842391014099,0.009870229288935661,0.9782378673553467,0.947425365447998,0.9870489835739136,0.17505079905192059,0.17081682535807294,1.0091709849643756e-06,173460.0,133.45703387260437,30331
240,0.8003119826316833,0.11744124442338943,0.7938224673271179,0.6435002684593201,1.0036323070526123,0.6044531464576721,0.06548205763101578,0.6157275438308716,0.5088046193122864,0.7456209063529968,0.9764869809150696,0.009870380163192749,0.9782388806343079,0.9474273920059204,0.9870506525039673,0.1713268280029297,0.1666355672200521,8.968112856099753e-07,191040.0,133.45703387260437,30331
270,0.8003106713294983,0.11742854863405228,0.7938246726989746,0.6434985399246216,1.003630518913269,0.6044526696205139,0.06546534597873688,0.6158314943313599,0.5088068842887878,0.7455035448074341,0.9764872193336487,0.009869558736681938,0.9782389402389526,0.9474294781684875,0.9870507121086121,0.16664975484212238,0.1618776845296224,8.057719506920144e-07,206820.0,133.45703387260437,30331
300,0.8003206849098206,0.11744185537099838,0.7938258647918701,0.6434991955757141,1.0036389827728271,0.6044642329216003,0.06547452509403229,0.6159130334854126,0.5088071227073669,0.7455571889877319,0.9764869213104248,0.009869100525975227,0.978239119052887,0.9474308490753174,0.9870507121086121,0.15900783538818358,0.15431712443033857,7.201441820117011e-07,220800.0,133.45703387260437,30331
330,0.8003202080726624,0.11744019389152527,0.7938252687454224,0.643499493598938,1.003638744354248,0.6044637560844421,0.06547211110591888,0.6159173846244812,0.5088074803352356,0.745542585849762,0.9764869809150696,0.009869111701846123,0.9782390594482422,0.9474306702613831,0.9870506525039673,0.16345245043436687,0.1579228495279948,7.015728836568241e-07,232980.0,133.45703387260437,30331
360,0.8003205060958862,0.11744064837694168,0.7938252091407776,0.6434997320175171,1.0036388635635376,0.6044643521308899,0.06547284126281738,0.615917980670929,0.5088077187538147,0.745547890663147,0.9764869213104248,0.009869107976555824,0.9782390594482422,0.9474306702613831,0.9870506525039673,0.15339543024698893,0.14766453755696612,6.303231025928212e-07,243360.0,133.45703387260437,30331
365,0.8003203868865967,0.11744049936532974,0.7938252687454224,0.6434996724128723,1.0036388635635376,0.6044642329216003,0.06547258049249649,0.6159180402755737,0.5088076591491699,0.7455461621284485,0.9764869213104248,0.009869104251265526,0.9782390594482422,0.9474306702613831,0.9870506525039673,0.1511333147684733,0.1457909210205078,6.170847631564964e-07,244915.0,133.45703387260437,30331
390,0.8003200888633728,0.11744000017642975,0.7938252091407776,0.6434996724128723,1.0036389827728271,0.6044637560844421,0.06547173857688904,0.6159180998802185,0.5088075995445251,0.7455406785011292,0.9764869809150696,0.009869101457297802,0.9782390594482422,0.9474306702613831,0.9870506525039673,0.15490845044453938,0.14914999389648434,6.148624690185734e-07,251940.0,133.45703387260437,30331
420,0.8003199696540833,0.11743990331888199,0.7938252091407776,0.6434996724128723,1.0036389827728271,0.6044637560844421,0.06547166407108307,0.6159180998802185,0.5088075995445251,0.7455402612686157,0.9764869809150696,0.009869106113910675,0.9782390594482422,0.9474306702613831,0.9870506525039673,0.15000845591227213,0.14405333862304687,5.79810049135251e-07,258720.0,133.45703387260437,30331
450,0.8003199696540833,0.117439866065979,0.793825089931488,0.6434996724128723,1.0036389827728271,0.6044637560844421,0.0654715895652771,0.6159181594848633,0.5088076591491699,0.7455399036407471,0.9764869809150696,0.009869092144072056,0.9782390594482422,0.9474307298660278,0.9870506525039673,0.14111000696818035,0.13531959737141927,5.351156881614727e-07,263700.0,133.45703387260437,30331
480,0.8003199696540833,0.11743976920843124,0.7938252091407776,0.6434996724128723,1.0036389827728271,0.6044637560844421,0.06547155231237411,0.6159180998802185,0.5088076591491699,0.7455395460128784,0.9764869809150696,0.0098691051825881,0.9782390594482422,0.9474306702613831,0.9870506525039673,0.13543168703715006,0.12956158294677736,5.074628561044293e-07,266880.0,133.45703387260437,30331
