window_len,RMSE_Mean,RMSE_Std,RMSE_Median,RMSE_Min,RMSE_Max,MAE_Mean,MAE_Std,MAE_Median,MAE_Min,MAE_Max,NSE_Mean,NSE_Std,NSE_Median,NSE_Min,NSE_Max,extra__infer_time_total_Mean,extra__infer_time_gpu_total_Mean,extra__infer_time_per_time_step_Mean,extra__n_total_time_steps_Mean,extra__train_time_total_best_Mean,extra__model_size,extra__forcast_time_steps
1,2.086646,0.6576713,1.7828953,1.4234936,3.1806304,1.6167178,0.498958,1.3596606,1.1120002,2.4534495,0.8553676,0.039828144,0.8766808,0.78289324,0.902506,0.08068259557088216,0.07781109212239581,7.795419861920984e-05,1035.0,38.172450002034495,96001,0
3,1.8713362,0.62658966,1.5069228,1.2767918,2.9028893,1.4416462,0.4738965,1.1371542,0.9984036,2.2124367,0.8832292,0.0379933,0.9007058,0.8135178,0.930603,0.06830283800760904,0.06575843098958332,2.2040283319654425e-05,3099.0,38.172450002034495,96001,0
5,1.7366196,0.58330864,1.3670304,1.1748269,2.6954257,1.3366699,0.43778533,1.0625476,0.9140845,2.045558,0.89908206,0.03420633,0.9123987,0.83369803,0.9420164,0.06812086105346679,0.0654737711588542,1.3214522027830606e-05,5155.0,38.172450002034495,96001,0
7,1.6436614,0.54845643,1.2810597,1.1069462,2.5456212,1.2631449,0.40972346,1.0148609,0.86182344,1.945722,0.90936935,0.031188406,0.91955644,0.8479327,0.9486572,0.0692540963490804,0.06660804443359372,9.614618401927027e-06,7203.0,38.172450002034495,96001,0
15,1.4194176,0.45622346,1.1454217,0.9628184,2.2022662,1.0857409,0.33734068,0.90461487,0.75434834,1.7031509,0.93202275,0.023601526,0.9389607,0.8822163,0.9605285,0.06864948272705076,0.06589783528645833,4.482499688348075e-06,15315.0,38.172450002034495,96001,0
30,1.1990412,0.34928963,1.0147855,0.8562921,1.845949,0.90209323,0.24568059,0.7663414,0.6676373,1.3919971,0.95111823,0.01602766,0.9532585,0.9175184,0.97006094,0.08638057708740236,0.08345693359375003,2.862179492624331e-06,30180.0,38.172450002034495,96001,0
60,1.0006278,0.23752066,0.9028193,0.74716574,1.4587561,0.74147505,0.15332402,0.6615118,0.5792744,1.0574771,0.9654666,0.010650895,0.9685385,0.9400988,0.97716737,0.07230645815531413,0.06918384602864582,1.2347414302478505e-06,58560.0,38.172450002034495,96001,0
90,0.9243725,0.19064337,0.85197127,0.7005798,1.3015329,0.68446183,0.11987048,0.63809794,0.54537463,0.93254215,0.9699852,0.009556723,0.97215784,0.945252,0.98035,0.07182432810465492,0.06856165364583333,8.436026321899808e-07,85140.0,38.172450002034495,96001,0
120,0.8824631,0.16429016,0.8274173,0.6742613,1.2139962,0.65462244,0.103007235,0.63004094,0.5265562,0.86652327,0.9720638,0.009315704,0.9748155,0.94747704,0.98264897,0.09109005928039554,0.07237110188802084,8.286941346469749e-07,109920.0,38.172450002034495,96001,0
150,0.855983,0.14662652,0.8246143,0.6595169,1.1552157,0.6364823,0.09265043,0.606154,0.51557916,0.8240089,0.9732696,0.009285719,0.97478527,0.9486359,0.98404855,0.07459653218587238,0.07117985026041665,5.612982105784227e-07,132900.0,38.172450002034495,96001,0
