window_len,positional_encoding,RMSE_Mean,RMSE_Std,RMSE_Median,RMSE_Min,RMSE_Max,MAE_Mean,MAE_Std,MAE_Median,MAE_Min,MAE_Max,NSE_Mean,NSE_Std,NSE_Median,NSE_Min,NSE_Max,extra__infer_time_total_Mean,extra__infer_time_gpu_total_Mean,extra__infer_time_per_time_step_Mean,extra__n_total_time_steps_Mean,extra__train_time_total_best_Mean,extra__model_size
1,learnable,2.005344,0.6286553,1.6160837,1.3660747,3.0182,1.5692515,0.4815658,1.2978122,1.0702792,2.3342524,0.86611193,0.03765372,0.87955844,0.7901783,0.916252,0.2165626843770345,0.2133904917399088,0.0002092393085768,1035.0,341.7211420536041,83102
1,sinusoidal,2.0125592,0.6187664,1.6222382,1.402846,3.0111911,1.5886114,0.4682914,1.3170063,1.1046814,2.3298228,0.8649674,0.03663741,0.87834394,0.79254675,0.91579115,0.1937048912048339,0.1918753550211588,0.0001871544842558,1035.0,243.5404291152954,30399
1,rope,2.0244582,0.650302,1.6281277,1.367243,3.0832493,1.5813843,0.49747363,1.2717888,1.0721343,2.3879695,0.8634601,0.04091696,0.8836136,0.7877313,0.9143948,0.2055174827575683,0.2025925252278645,0.0001985676161908,1035.0,406.45828914642334,25559
3,learnable,1.6282651,0.5686381,1.272544,1.0558097,2.5579581,1.2730571,0.4275523,1.0308044,0.8432126,2.018125,0.9107342,0.033683326,0.9190553,0.84086514,0.95395064,0.1986723740895589,0.1959956776936849,6.410854278462695e-05,3099.0,341.7211420536041,83102
5,learnable,1.4603717,0.48325917,1.1842067,0.9798583,2.3281147,1.1439503,0.36706084,0.944249,0.78534645,1.8347989,0.9275597,0.027220601,0.93292886,0.86784434,0.96144295,0.2020838419596354,0.1994387807210286,3.920152123368292e-05,5155.0,341.7211420536041,83102
7,learnable,1.34198,0.42078304,1.1227098,0.91898346,2.141457,1.0487254,0.3201714,0.87290865,0.72688293,1.685662,0.9384644,0.02266317,0.9439456,0.8881861,0.9661054,0.1950645446777343,0.1925635559082031,2.708101411602587e-05,7203.0,341.7211420536041,83102
15,learnable,1.0580525,0.2751319,0.96205825,0.7893165,1.6876556,0.8356439,0.21234637,0.71737725,0.639234,1.3426701,0.96095836,0.014095483,0.963801,0.9305544,0.9755195,0.1946570555369059,0.1919619160970052,1.2710222366105511e-05,15315.0,341.7211420536041,83102
30,learnable,0.825433,0.1338896,0.7967456,0.6680928,1.1999708,0.6545557,0.10998413,0.6201626,0.53091973,0.9775474,0.9749176,0.010282507,0.9756041,0.9483829,0.986318,0.2001977284749349,0.1967542449951171,6.633456874583661e-06,30180.0,341.7211420536041,83102
60,learnable,0.7238596,0.106105864,0.69549656,0.59435403,0.98738986,0.5715448,0.08538879,0.5571281,0.46063408,0.80022776,0.97970283,0.010112696,0.97991943,0.95484185,0.99181956,0.3572422981262207,0.3535936594645183,6.100449080024261e-06,58560.0,341.7211420536041,83102
90,learnable,0.70735383,0.101104334,0.6685038,0.58061373,0.9360681,0.55695313,0.0787996,0.535571,0.45442435,0.7438666,0.98050976,0.009951049,0.9796049,0.9555969,0.99210906,0.2078130880991618,0.2039514027913411,2.440839653502018e-06,85140.0,341.7211420536041,83102
3,sinusoidal,1.6359621286392212,0.5512178540229797,1.297693133354187,1.1000596284866333,2.524502992630005,1.2928402423858645,0.4144426882266998,1.064377784729004,0.8978290557861328,2.0162572860717773,0.9096820950508118,0.0325892306864261,0.9189773797988892,0.844607949256897,0.9545481204986572,0.2248432795206705,0.2224527567545573,7.255349452102954e-05,3099.0,243.5404291152954,30399
3,rope,1.6417924165725708,0.5772125124931335,1.2874821424484253,1.0388646125793457,2.599149942398072,1.2838886976242063,0.438656210899353,1.0275436639785769,0.8324235081672668,2.006181001663208,0.90923810005188,0.0345672443509101,0.9220391511917114,0.8433130979537964,0.9533572196960448,0.2372462590535481,0.2342047047932942,7.655574670976062e-05,3099.0,406.45828914642334,25559
5,sinusoidal,1.4672249555587769,0.4640100002288818,1.2179152965545654,1.0147628784179688,2.288086175918579,1.155834674835205,0.35011026263237,0.9621226191520692,0.8231346011161804,1.8145123720169067,0.9266970157623292,0.0261031929403543,0.9314021468162536,0.8723496794700623,0.9627249836921692,0.2387259642283122,0.2357809631347656,4.630959538861536e-05,5155.0,243.5404291152954,30399
5,rope,1.4727904796600342,0.4920123219490051,1.2229641675949097,0.9451985955238342,2.3071746826171875,1.1548197269439695,0.3743019700050354,0.9570605158805848,0.755951464176178,1.807067394256592,0.926322877407074,0.0279768928885459,0.9340009689331056,0.8702109456062317,0.9620554447174072,0.2155469258626302,0.2112656555175781,4.181317669498162e-05,5155.0,406.45828914642334,25559
7,sinusoidal,1.352589130401611,0.4016218185424804,1.1494487524032593,0.9578701257705688,2.094876766204834,1.0637531280517578,0.3034208416938782,0.9009369611740112,0.7747160196304321,1.6658984422683716,0.9373281598091124,0.0216606091707944,0.9403629899024964,0.8929975032806396,0.9674453735351562,0.3078101952870687,0.3042610921223959,4.27336103411174e-05,7203.0,243.5404291152954,30399
7,rope,1.3586348295211792,0.426114410161972,1.1473301649093628,0.8922428488731384,2.121382236480713,1.0657601356506348,0.3281068503856659,0.9031557440757751,0.7086018919944763,1.6755619049072266,0.9369258880615234,0.0232085008174181,0.9420310854911804,0.8902726173400879,0.9661020040512084,0.2444603125254313,0.2412902557373047,3.3938680067392936e-05,7203.0,406.45828914642334,25559
15,sinusoidal,1.0459541082382202,0.2561659812927246,0.9685577750205994,0.7932305335998535,1.5978187322616575,0.82945317029953,0.2020104825496673,0.7304127812385559,0.640815019607544,1.2914749383926392,0.9616842865943908,0.0134447067975997,0.9650202989578248,0.9302932620048524,0.977609157562256,0.2353800932566324,0.2326731943766276,1.5369251926649197e-05,15315.0,243.5404291152954,30399
