window_len,positional_encoding,RMSE_Mean,RMSE_Std,RMSE_Median,RMSE_Min,RMSE_Max,MAE_Mean,MAE_Std,MAE_Median,MAE_Min,MAE_Max,NSE_Mean,NSE_Std,NSE_Median,NSE_Min,NSE_Max,extra__infer_time_total_Mean,extra__infer_time_gpu_total_Mean,extra__infer_time_per_time_step_Mean,extra__n_total_time_steps_Mean,extra__train_time_total_best_Mean,extra__model_size,extra__forcast_time_steps
1,learnable,2.024528,0.6320087,1.6188492,1.4128913,3.053758,1.5803248,0.4715844,1.3111036,1.0934261,2.3481977,0.8633428,0.038249407,0.8767808,0.79138106,0.9165342,0.06907798449198402,0.0665525594075521,6.674201400191695e-05,1035.0,63.42935929298402,68590,0
1,sinusoidal,2.0002768,0.6330034,1.6215066,1.361864,3.0146937,1.5505426,0.47125223,1.2798759,1.076078,2.3025122,0.86677384,0.038301483,0.88096416,0.7919054,0.91508967,0.06879982948303223,0.0663723388671875,6.647326520099731e-05,1035.0,74.92423815727236,138586,0
1,rope,2.144001,0.6923243,1.7030452,1.417215,3.2373283,1.6848031,0.5302609,1.3725699,1.1032102,2.5176349,0.8468856,0.046485133,0.8649845,0.7603724,0.90633535,0.07295786539713543,0.07045160319010416,7.049069120496177e-05,1035.0,334.8686970551808,144696,0
3,learnable,1.8286579,0.6049006,1.4431137,1.2339442,2.8326335,1.42281,0.45196512,1.1679848,0.98451805,2.1696062,0.88812625,0.036393404,0.89819694,0.81857055,0.93766665,0.06841939290364583,0.06596646728515623,2.2077893805629508e-05,3099.0,63.42935929298402,68590,0
3,sinusoidal,1.8054997,0.6043545,1.427613,1.1897899,2.7900043,1.3991023,0.44965827,1.1505666,0.9473918,2.1249278,0.89101815,0.036328964,0.9012069,0.8192331,0.93795764,0.06779152552286784,0.06533052571614582,2.187529058498478e-05,3099.0,74.92423815727236,138586,0
3,rope,1.9333385,0.66112113,1.5152724,1.2808868,2.9874923,1.5074737,0.5050582,1.2128829,0.9963282,2.310439,0.8749928,0.04363773,0.89264894,0.79329693,0.93137693,0.07692389488220217,0.07450389811197919,2.482216678999747e-05,3099.0,334.8686970551808,144696,0
5,learnable,1.7160923,0.5672987,1.3647654,1.1559528,2.6598823,1.3321489,0.42341292,1.1022857,0.91877025,2.0336745,0.90114504,0.033236984,0.9092104,0.8356415,0.94610554,0.06659757296244305,0.06405635579427084,1.2919024822976343e-05,5155.0,63.42935929298402,68590,0
5,sinusoidal,1.6887044,0.56270427,1.3521059,1.1138017,2.6028392,1.3051401,0.41636387,1.0886029,0.8844161,2.006644,0.9042887,0.032866962,0.912109,0.8374958,0.9470894,0.10390391349792477,0.10024724934895833,2.015594830221626e-05,5155.0,74.92423815727236,138586,0
5,rope,1.8064376,0.61833847,1.417259,1.2076275,2.788153,1.4008985,0.46894976,1.1310489,0.93804806,2.1412752,0.89043695,0.039545346,0.90613884,0.81494594,0.9420738,0.09675725301106769,0.09320249837239582,1.8769593212622256e-05,5155.0,334.8686970551808,144696,0
7,learnable,1.6362048,0.53291154,1.3159711,1.1078942,2.5217843,1.2668589,0.39649415,1.0608991,0.87736696,1.9338906,0.9098946,0.030416155,0.91637886,0.8487222,0.9510586,0.0815509796142578,0.07819781901041667,1.1321807526621938e-05,7203.0,63.42935929298402,68590,0
7,sinusoidal,1.6053302,0.52795446,1.3017715,1.0635461,2.4730713,1.2372646,0.38878065,1.0460899,0.84244937,1.9190986,0.9132564,0.030039653,0.9198755,0.85114276,0.95242476,0.07090630531311035,0.06831128743489587,9.843996295031286e-06,7203.0,74.92423815727236,138586,0
7,rope,1.7148509,0.5807667,1.3555788,1.1468903,2.6336462,1.3246449,0.43765476,1.0751181,0.89821124,2.010109,0.90095794,0.036129795,0.9150452,0.8311848,0.94837284,0.08524842262268065,0.08271847330729167,1.1835127394513493e-05,7203.0,334.8686970551808,144696,0
15,learnable,1.4297833,0.43721816,1.1949124,0.9939712,2.199692,1.0990099,0.3201155,0.93985075,0.7830747,1.7009394,0.9307238,0.023056746,0.9366778,0.88249147,0.96150327,0.06884431838989258,0.0662195353190104,4.4952215729606655e-06,15315.0,63.42935929298402,68590,0
15,sinusoidal,1.3925313,0.43639725,1.1838025,0.9421867,2.1762738,1.0661443,0.3183983,0.8990758,0.7390478,1.687841,0.934233,0.023001635,0.9378498,0.8849802,0.9641707,0.0835395177205404,0.0789168538411458,5.454751401928853e-06,15315.0,74.92423815727236,138586,0
15,rope,1.4813442,0.47874847,1.2505969,1.0092515,2.3030095,1.1309925,0.35307494,0.94629115,0.7860211,1.7523876,0.92549235,0.027552038,0.9357014,0.87119377,0.9614679,0.07450577418009438,0.07193500976562503,4.864888944178544e-06,15315.0,334.8686970551808,144696,0
30,learnable,1.2223493,0.32806408,1.0644383,0.89718777,1.8470683,0.9264738,0.22765282,0.8013581,0.7057618,1.4046295,0.948868,0.016051624,0.9535868,0.91628754,0.96942234,0.07562503814697266,0.07268079427083333,2.5057998060627124e-06,30180.0,63.42935929298402,68590,0
30,sinusoidal,1.1781883,0.33490834,1.0234069,0.833564,1.8269268,0.88749164,0.23414423,0.75257164,0.64789283,1.3972363,0.95248836,0.016191462,0.95320886,0.91920954,0.97270525,0.09794039726257323,0.0936520751953125,3.245208656811571e-06,30180.0,74.92423815727236,138586,0
30,rope,1.254637,0.36535794,1.086056,0.8966821,1.9342841,0.94055736,0.25592387,0.8207719,0.6972118,1.4511112,0.9459404,0.019814406,0.9503789,0.9043968,0.9706452,0.08874735832214357,0.0858931315104167,2.9406016674003837e-06,30180.0,334.8686970551808,144696,0
60,learnable,1.0291054,0.21527565,0.9587159,0.78637594,1.4523289,0.77123755,0.13706958,0.7011715,0.61039114,1.0734537,0.96314085,0.011409514,0.96640825,0.93245184,0.97450155,0.08530418078104657,0.08053712565104167,1.4566970761790737e-06,58560.0,63.42935929298402,68590,0
